HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
1.27173,,,,,,-6.21,,-6.47533,,,,,0.07687,,-6.441,0.60802,,,,,,,,,,,-6.275,2022-01-01T00:00:00.0,,,,,,,,,,,,,,0.07687,1.27173,0.60802,-6.21,-6.21,-6.275,-6.47533
3.80767,,,,,,-6.05333,,-6.309,,,,,0.09133,,-6.26367,1.55001,,,,,,,,,,,-6.12267,2022-01-01T00:30:00.0,,,,,,,,,,,,,,0.09133,3.80767,1.55001,-6.05333,-6.05333,-6.12267,-6.309
2.90535,,,,,,-5.821,,-6.097,,,,,0.02246,,-6.05967,1.82708,,,,,,,,,,,-5.90067,2022-01-01T01:00:00.0,,,,,,,,,,,,,,0.02246,2.90535,1.82708,-5.821,-5.821,-5.90067,-6.097
1.83577,,,,,,-5.72367,,-6.021,,,,,0.0125,,-5.99667,-0.08352,,,,,,,,,,,-5.82333,2022-01-01T01:30:00.0,,,,,,,,,,,,,,0.0125,1.83577,-0.08352,-5.72367,-5.72367,-5.82333,-6.021
1.8862,,,,,,-5.64633,,-5.95867,,,,,-0.33785,,-5.92333,1.24405,,,,,,,,,,,-5.76433,2022-01-01T02:00:00.0,,,,,,,,,,,,,,-0.33785,1.8862,1.24405,-5.64633,-5.64633,-5.76433,-5.95867
4.14444,,,,,,-5.474,,-5.78533,,,,,-0.31772,,-5.742,1.3351,,,,,,,,,,,-5.592,2022-01-01T02:30:00.0,,,,,,,,,,,,,,-0.31772,4.14444,1.3351,-5.474,-5.474,-5.592,-5.78533
3.10112,,,,,,-5.274,,-5.64433,,,,,-0.3064,,-5.609,-0.11681,,,,,,,,,,,-5.45167,2022-01-01T03:00:00.0,,,,,,,,,,,,,,-0.3064,3.10112,-0.11681,-5.274,-5.274,-5.45167,-5.64433
-7.46604,,,,,,-5.316,,-5.865,,,,,-0.97067,,-5.82733,-5.97792,,,,,,,,,,,-5.65167,2022-01-01T03:30:00.0,,,,,,,,,,,,,,-0.97067,-7.46604,-5.97792,-5.316,-5.316,-5.65167,-5.865
-2.66813,,,,,,-5.69667,,-6.223,,,,,-0.14383,,-6.192,-0.90784,,,,,,,,,,,-6.02267,2022-01-01T04:00:00.0,,,,,,,,,,,,,,-0.14383,-2.66813,-0.90784,-5.69667,-5.69667,-6.02267,-6.223
-1.12052,,,,,,-5.735,,-6.226,,,,,-0.01012,,-6.19667,-0.56362,,,,,,,,,,,-6.02733,2022-01-01T04:30:00.0,,,,,,,,,,,,,,-0.01012,-1.12052,-0.56362,-5.735,-5.735,-6.02733,-6.226
-1.04446,,,,,,-5.81233,,-6.28933,,,,,-0.10837,,-6.25267,-0.30965,,,,,,,,,,,-6.08833,2022-01-01T05:00:00.0,,,,,,,,,,,,,,-0.10837,-1.04446,-0.30965,-5.81233,-5.81233,-6.08833,-6.28933
-1.95044,,,,,,-5.84033,,-6.26667,,,,,-0.11108,,-6.22567,-0.9247,,,,,,,,,,,-6.074,2022-01-01T05:30:00.0,,,,,,,,,,,,,,-0.11108,-1.95044,-0.9247,-5.84033,-5.84033,-6.074,-6.26667
-8.31578,,,,,,-6.10467,,-6.47867,,,,,-0.10483,,-6.41433,-2.95983,,,,,,,,,,,-6.297,2022-01-01T06:00:00.0,,,,,,,,,,,,,,-0.10483,-8.31578,-2.95983,-6.10467,-6.10467,-6.297,-6.47867
-12.45738,,,,,,-6.64667,,-6.924,,,,,-0.14762,,-6.85633,-5.01201,,,,,,,,,,,-6.755,2022-01-01T06:30:00.0,,,,,,,,,,,,,,-0.14762,-12.45738,-5.01201,-6.64667,-6.64667,-6.755,-6.924
-11.06513,,,,,,-7.27,,-7.56,,,,,-0.21866,,-7.491,-5.89813,,,,,,,,,,,-7.39067,2022-01-01T07:00:00.0,,,,,,,,,,,,,,-0.21866,-11.06513,-5.89813,-7.27,-7.27,-7.39067,-7.56
-10.38596,,,,,,-7.81233,,-8.12733,,,,,-0.14847,,-8.05267,-5.04489,,,,,,,,,,,-7.96433,2022-01-01T07:30:00.0,,,,,,,,,,,,,,-0.14847,-10.38596,-5.04489,-7.81233,-7.81233,-7.96433,-8.12733
-2.14588,,,,,,-8.19967,,-8.43933,,,,,-0.07907,,-8.33733,-0.15717,,,,,,,,,,,-8.293,2022-01-01T08:00:00.0,,,,,,,,,,,,,,-0.07907,-2.14588,-0.15717,-8.19967,-8.19967,-8.293,-8.43933
6.92922,,,,,,-8.02033,,-8.28033,,,,,-0.10635,,-8.21433,3.73036,,,,,,,,,,,-8.10967,2022-01-01T08:30:00.0,,,,,,,,,,,,,,-0.10635,6.92922,3.73036,-8.02033,-8.02033,-8.10967,-8.28033
