HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY4,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
1.1608,,,,5.99467,234.1095,5.83933,,5.595,,,,,0.50864,,5.599,2.72747,,,,,,,,0.34229,,,5.72067,2020-11-01T00:00:00.0,,,,,,0.34229,234.1095,,,,,,,0.50864,1.1608,2.72747,5.99467,5.83933,5.83933,5.72067,5.595
1.18362,,,,6.06067,418.96121,5.91033,,5.664,,,,,0.23075,,5.67333,2.1324,,,,,,,,0.30839,,,5.786,2020-11-01T00:30:00.0,,,,,,0.30839,418.96121,,,,,,,0.23075,1.18362,2.1324,6.06067,5.91033,5.91033,5.786,5.664
0.78163,,,,6.11467,444.7645,5.96833,,5.73133,,,,,0.02988,,5.73,1.51574,,,,,,,,0.37456,0.1023,-317.6592,5.849,2020-11-01T01:00:00.0,,,,,,0.1023,-317.6592,,,,,,,0.02988,0.78163,1.51574,6.11467,5.96833,5.96833,5.849,5.73133
0.59256,,,,6.14933,389.01291,5.99667,,5.75433,,,,,0.0327,,5.75633,1.03741,,,,,,,,0.30958,0.07896,33.10073,5.87467,2020-11-01T01:30:00.0,,,,,,0.07896,33.10073,,,,,,,0.0327,0.59256,1.03741,6.14933,5.99667,5.99667,5.87467,5.75433
0.68382,,,,6.18667,139.1371,6.04867,,5.78767,,,,,-0.17587,,5.78867,0.51007,,,,,,,,0.24316,0.1093,95.22072,5.93233,2020-11-01T02:00:00.0,,,,,,0.1093,95.22072,,,,,,,-0.17587,0.68382,0.51007,6.18667,6.04867,6.04867,5.93233,5.78767
0.42794,,,,6.19533,220.4174,6.072,,5.81133,,,,,-0.07167,,5.806,0.23342,,,,,,,,0.31664,0.09572,144.5866,5.96233,2020-11-01T02:30:00.0,,,,,,0.09572,144.5866,,,,,,,-0.07167,0.42794,0.23342,6.19533,6.072,6.072,5.96233,5.81133
1.05078,,,,6.23467,163.0995,6.11433,,5.868,,,,,-0.06477,,5.86633,0.89125,,,,,,,,0.3072,,,6.01,2020-11-01T03:00:00.0,,,,,,0.3072,163.0995,,,,,,,-0.06477,1.05078,0.89125,6.23467,6.11433,6.11433,6.01,5.868
0.8523,,,,6.29,168.19701,6.15967,,5.91467,,,,,0.24415,,5.909,1.11563,,,,,,,,0.29484,,,6.04433,2020-11-01T03:30:00.0,,,,,,0.29484,168.19701,,,,,,,0.24415,0.8523,1.11563,6.29,6.15967,6.15967,6.04433,5.91467
1.60176,,,,6.35933,208.60809,6.24167,,5.99433,,,,,0.18903,,5.9769,1.32506,,,,,,,,0.33366,0.12006,268.7643,6.128,2020-11-01T04:00:00.0,,,,,,0.12006,268.7643,,,,,,,0.18903,1.60176,1.32506,6.35933,6.24167,6.24167,6.128,5.99433
1.45197,,,,6.42567,218.5528,6.33167,,6.098,,,,,0.17426,,6.06333,1.12605,,,,,,,,0.37204,0.08447,43.14005,6.22567,2020-11-01T04:30:00.0,,,,,,0.08447,43.14005,,,,,,,0.17426,1.45197,1.12605,6.42567,6.33167,6.33167,6.22567,6.098
0.82933,,,,6.46633,386.2084,6.37533,,6.12567,,,,,0.07402,,6.09667,0.22151,,,,,,,,0.35179,,,6.261,2020-11-01T05:00:00.0,,,,,,0.35179,386.2084,,,,,,,0.07402,0.82933,0.22151,6.46633,6.37533,6.37533,6.261,6.12567
0.28152,,,,6.518,380.30441,6.42033,,6.15667,,,,,-0.41523,,6.11767,-1.72149,,,,,,,,0.40242,0.08363,29.61721,6.29433,2020-11-01T05:30:00.0,,,,,,0.08363,29.61721,,,,,,,-0.41523,0.28152,-1.72149,6.518,6.42033,6.42033,6.29433,6.15667
-0.57425,,,,6.49833,196.0652,6.413,,6.17433,,,,,-0.46301,,6.126,-3.20064,,,,,,,,0.29706,0.085,35.14226,6.291,2020-11-01T06:00:00.0,,,,,,0.085,35.14226,,,,,,,-0.46301,-0.57425,-3.20064,6.49833,6.413,6.413,6.291,6.17433
