HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY4,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
-0.47417,,,,-0.06533,,-0.29,,-0.60533,,,,,,,-0.59667,,,,,,,,,,,,-0.49367,2021-01-01T00:00:00.0,,,,,,,,,,,,,,,-0.47417,,-0.06533,-0.29,-0.29,-0.49367,-0.60533
-0.94116,,,,-0.07033,,-0.32767,,-0.642,,,,,,,-0.64133,,,,,,,,,,,,-0.516,2021-01-01T00:30:00.0,,,,,,,,,,,,,,,-0.94116,,-0.07033,-0.32767,-0.32767,-0.516,-0.642
-0.38594,,,,-0.116,,-0.353,,-0.65733,,,,,,,-0.654,,,,,,,,,,,,-0.52467,2021-01-01T01:00:00.0,,,,,,,,,,,,,,,-0.38594,,-0.116,-0.353,-0.353,-0.52467,-0.65733
0.13995,,,,-0.14567,,-0.36733,,-0.66067,,,,,,,-0.653,,,,,,,,,,,,-0.53567,2021-01-01T01:30:00.0,,,,,,,,,,,,,,,0.13995,,-0.14567,-0.36733,-0.36733,-0.53567,-0.66067
-0.37877,,,,-0.189,,-0.35367,,-0.655,,,,,,,-0.639,,,,,,,,,,,,-0.53067,2021-01-01T02:00:00.0,,,,,,,,,,,,,,,-0.37877,,-0.189,-0.35367,-0.35367,-0.53067,-0.655
0.10762,,,,-0.19533,,-0.34233,,-0.63367,,,,,,,-0.626,,,,,,,,,,,,-0.515,2021-01-01T02:30:00.0,,,,,,,,,,,,,,,0.10762,,-0.19533,-0.34233,-0.34233,-0.515,-0.63367
-0.56651,,,,-0.20933,,-0.35633,,-0.643,,,,,,,-0.63267,,,,,,,,,,,,-0.518,2021-01-01T03:00:00.0,,,,,,,,,,,,,,,-0.56651,,-0.20933,-0.35633,-0.35633,-0.518,-0.643
-1.52456,,,,-0.26567,,-0.40633,,-0.68067,,,,,,,-0.68067,,,,,,,,,,,,-0.55767,2021-01-01T03:30:00.0,,,,,,,,,,,,,,,-1.52456,,-0.26567,-0.40633,-0.40633,-0.55767,-0.68067
-0.43619,,,,-0.34067,,-0.48533,,-0.739,,,,,,,-0.73,,,,,,,,,,,,-0.61133,2021-01-01T04:00:00.0,,,,,,,,,,,,,,,-0.43619,,-0.34067,-0.48533,-0.48533,-0.61133,-0.739
0.06894,,,,-0.376,,-0.501,,-0.754,,,,,,,-0.737,,,,,,,,,,,,-0.63033,2021-01-01T04:30:00.0,,,,,,,,,,,,,,,0.06894,,-0.376,-0.501,-0.501,-0.63033,-0.754
