HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.Qc_F_c,HYY_EDDY233.F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.tau,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_META.T42,HYY_EDDY233.u_star,HYY_META.T84,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.E,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
,,6.03815,,-0.402,,,,,,,,,,,,-0.08333,,-0.43567,,,-0.47533,2024-02-01T00:00:00.0,,,,,,,,,,,,,,,6.03815,,-0.08333,-0.08333,-0.47533,-0.43567
,,5.03337,,-0.11067,,,,,,,,,,,,0.20667,,-0.16033,,,-0.16733,2024-02-01T00:30:00.0,,,,,,,,,,,,,,,5.03337,,0.20667,0.20667,-0.16733,-0.16033
,,4.00173,,0.129,,,,,,,,,,,,0.39567,,0.068,,,0.12,2024-02-01T01:00:00.0,,,,,,,,,,,,,,,4.00173,,0.39567,0.39567,0.12,0.068
,,-0.304,,0.28867,,,,,,,,,,,,0.55833,,0.20567,,,0.25967,2024-02-01T01:30:00.0,,,,,,,,,,,,,,,-0.304,,0.55833,0.55833,0.25967,0.20567
,,-4.5059,,0.18067,,,,,,,,,,,,0.344,,0.077,,,0.10367,2024-02-01T02:00:00.0,,,,,,,,,,,,,,,-4.5059,,0.344,0.344,0.10367,0.077
,,-1.51655,,0.03586,,,,,,,,,,,,0.17172,,-0.07172,,,-0.04483,2024-02-01T02:30:00.0,,,,,,,,,,,,,,,-1.51655,,0.17172,0.17172,-0.04483,-0.07172
,,-2.03558,,-0.038,,,,,,,,,,,,0.12933,,-0.125,,,-0.10267,2024-02-01T03:00:00.0,,,,,,,,,,,,,,,-2.03558,,0.12933,0.12933,-0.10267,-0.125
,,-0.91917,,-0.13267,,,,,,,,,,,,0.05667,,-0.20533,,,-0.18233,2024-02-01T03:30:00.0,,,,,,,,,,,,,,,-0.91917,,0.05667,0.05667,-0.18233,-0.20533
,,-0.73201,,-0.16967,,,,,,,,,,,,0.04,,-0.24967,,,-0.214,2024-02-01T04:00:00.0,,,,,,,,,,,,,,,-0.73201,,0.04,0.04,-0.214,-0.24967
,,-0.86545,,-0.254,,,,,,,,,,,,-0.01467,,-0.32733,,,-0.271,2024-02-01T04:30:00.0,,,,,,,,,,,,,,,-0.86545,,-0.01467,-0.01467,-0.271,-0.32733
,,-0.45061,,-0.292,,,,,,,,,,,,-0.05033,,-0.36433,,,-0.32467,2024-02-01T05:00:00.0,,,,,,,,,,,,,,,-0.45061,,-0.05033,-0.05033,-0.32467,-0.36433
,,0.04083,,-0.30931,,,,,,,,,,,,-0.07897,,-0.37862,,,-0.34138,2024-02-01T05:30:00.0,,,,,,,,,,,,,,,0.04083,,-0.07897,-0.07897,-0.34138,-0.37862
,,-0.84314,,-0.335,,,,,,,,,,,,-0.10067,,-0.41,,,-0.372,2024-02-01T06:00:00.0,,,,,,,,,,,,,,,-0.84314,,-0.10067,-0.10067,-0.372,-0.41
,,0.12091,,-0.357,,,,,,,,,,,,-0.12367,,-0.42767,,,-0.39533,2024-02-01T06:30:00.0,,,,,,,,,,,,,,,0.12091,,-0.12367,-0.12367,-0.39533,-0.42767
,,0.39127,,-0.30533,,,,,,,,,,,,-0.08367,,-0.373,,,-0.35033,2024-02-01T07:00:00.0,,,,,,,,,,,,,,,0.39127,,-0.08367,-0.08367,-0.35033,-0.373
,,0.43831,,-0.325,,,,,,,,,,,,-0.10667,,-0.40467,,,-0.36567,2024-02-01T07:30:00.0,,,,,,,,,,,,,,,0.43831,,-0.10667,-0.10667,-0.36567,-0.40467
,,1.76658,,-0.25552,,,,,,,,,,,,-0.04069,,-0.33448,,,-0.28207,2024-02-01T08:00:00.0,,,,,,,,,,,,,,,1.76658,,-0.04069,-0.04069,-0.28207,-0.33448
,,1.42082,,-0.12,,,,,,,,,,,,0.08633,,-0.2,,,-0.15467,2024-02-01T08:30:00.0,,,,,,,,,,,,,,,1.42082,,0.08633,0.08633,-0.15467,-0.2
,,0.64817,,-0.01267,,,,,,,,,,,,0.156,,-0.09633,,,-0.06767,2024-02-01T09:00:00.0,,,,,,,,,,,,,,,0.64817,,0.156,0.156,-0.06767,-0.09633
,,0.15461,,-0.00933,,,,,,,,,,,,0.15533,,-0.096,,,-0.06833,2024-02-01T09:30:00.0,,,,,,,,,,,,,,,0.15461,,0.15533,0.15533,-0.06833,-0.096
,,-2.30356,,-0.07,,,,,,,,,,,,0.10724,,-0.16034,,,-0.13069,2024-02-01T10:00:00.0,,,,,,,,,,,,,,,-2.30356,,0.10724,0.10724,-0.13069,-0.16034
,,2.17673,,-0.11767,,,,,,,,,,,,0.03533,,-0.18433,,,-0.18967,2024-02-01T10:30:00.0,,,,,,,,,,,,,,,2.17673,,0.03533,0.03533,-0.18967,-0.18433
,,-0.14267,,-0.021,,,,,,,,,,,,0.21533,,-0.083,,,-0.07367,2024-02-01T11:00:00.0,,,,,,,,,,,,,,,-0.14267,,0.21533,0.21533,-0.07367,-0.083
