HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.Qc_F_c,HYY_EDDY233.F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.tau,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_META.T42,HYY_EDDY233.u_star,HYY_META.T84,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.E,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY4,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
,,-2.51179,,-10.34133,,,,,,,,,-10.043,,,-10.19633,,-10.37333,,,-10.23567,2021-02-01T00:00:00.0,,,,,,,,,,,,,,,-2.51179,,-10.043,-10.19633,-10.19633,-10.23567,-10.37333
,,-2.64456,,-10.48767,,,,,,,,,-10.25967,,,-10.32133,,-10.49767,,,-10.346,2021-02-01T00:30:00.0,,,,,,,,,,,,,,,-2.64456,,-10.25967,-10.32133,-10.32133,-10.346,-10.49767
,,-3.20926,,-10.62633,,,,,,,,,-10.37167,,,-10.47167,,-10.65133,,,-10.50633,2021-02-01T01:00:00.0,,,,,,,,,,,,,,,-3.20926,,-10.37167,-10.47167,-10.47167,-10.50633,-10.65133
,,-6.87868,,-10.82967,,,,,,,,,-10.57467,,,-10.69433,,-10.88533,,,-10.73467,2021-02-01T01:30:00.0,,,,,,,,,,,,,,,-6.87868,,-10.57467,-10.69433,-10.69433,-10.73467,-10.88533
,,-7.17253,,-11.23,,,,,,,,,-11.01,,,-11.09867,,-11.28,,,-11.13733,2021-02-01T02:00:00.0,,,,,,,,,,,,,,,-7.17253,,-11.01,-11.09867,-11.09867,-11.13733,-11.28
,,-6.16416,,-11.449,,,,,,,,,-11.31833,,,-11.356,,-11.50067,,,-11.357,2021-02-01T02:30:00.0,,,,,,,,,,,,,,,-6.16416,,-11.31833,-11.356,-11.356,-11.357,-11.50067
,,1.3545,,-11.46633,,,,,,,,,-11.48167,,,-11.49733,,-11.574,,,-11.479,2021-02-01T03:00:00.0,,,,,,,,,,,,,,,1.3545,,-11.48167,-11.49733,-11.49733,-11.479,-11.574
,,1.71605,,-11.48833,,,,,,,,,-11.367,,,-11.467,,-11.59033,,,-11.48633,2021-02-01T03:30:00.0,,,,,,,,,,,,,,,1.71605,,-11.367,-11.467,-11.467,-11.48633,-11.59033
,,-0.20064,,-11.55867,,,,,,,,,-11.35167,,,-11.50833,,-11.63767,,,-11.53433,2021-02-01T04:00:00.0,,,,,,,,,,,,,,,-0.20064,,-11.35167,-11.50833,-11.50833,-11.53433,-11.63767
,,1.63799,,-11.48033,,,,,,,,,-11.344,,,-11.50933,,-11.60533,,,-11.52633,2021-02-01T04:30:00.0,,,,,,,,,,,,,,,1.63799,,-11.344,-11.50933,-11.50933,-11.52633,-11.60533
