HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY4,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
-5.88431,,,,2.12633,295.28421,2.06233,,1.91933,,,,,,,2.01167,,,,,,,,,0.50701,0.0387,1.89723,1.91233,2021-03-01T00:00:00.0,,,,,,0.0387,1.89723,,,,,,,,-5.88431,,2.12633,2.06233,2.06233,1.91233,1.91933
-3.87438,,,,1.86467,463.70749,1.79267,,1.64633,,,,,,,1.71367,,,,,,,,,0.60644,0.03631,0.8099,1.644,2021-03-01T00:30:00.0,,,,,,0.03631,0.8099,,,,,,,,-3.87438,,1.86467,1.79267,1.79267,1.644,1.64633
-0.28824,,,,1.87633,864.74548,1.79967,,1.68633,,,,,,,1.74367,,,,,,,,,0.74362,0.07385,5.92669,1.65667,2021-03-01T01:00:00.0,,,,,,0.07385,5.92669,,,,,,,,-0.28824,,1.87633,1.79967,1.79967,1.65667,1.68633
-4.16903,,,,1.65233,709.79279,1.56733,,1.436,,,,,,,1.50167,,,,,,,,,0.77455,0.06397,2.58971,1.416,2021-03-01T01:30:00.0,,,,,,0.06397,2.58971,,,,,,,,-4.16903,,1.65233,1.56733,1.56733,1.416,1.436
-2.14435,,,,1.55633,745.95538,1.485,,1.35733,,,,,,,1.43433,,,,,,,,,0.70004,0.04949,1.79878,1.33033,2021-03-01T02:00:00.0,,,,,,0.04949,1.79878,,,,,,,,-2.14435,,1.55633,1.485,1.485,1.33033,1.35733
-0.92019,,,,1.35567,516.21161,1.304,,1.201,,,,,,,1.30067,,,,,,,,,0.66628,0.02457,0.26674,1.18367,2021-03-01T02:30:00.0,,,,,,0.02457,0.26674,,,,,,,,-0.92019,,1.35567,1.304,1.304,1.18367,1.201
-5.47565,,,,1.18733,384.07709,1.13867,,1.06967,,,,,,,1.19033,,,,,,,,,0.57522,,,1.022,2021-03-01T03:00:00.0,,,,,,0.57522,384.07709,,,,,,,,-5.47565,,1.18733,1.13867,1.13867,1.022,1.06967
-4.33899,,,,0.906,290.9769,0.894,,0.93633,,,,,,,1.141,,,,,,,,,0.51701,0.03921,1.4493,0.82367,2021-03-01T03:30:00.0,,,,,,0.03921,1.4493,,,,,,,,-4.33899,,0.906,0.894,0.894,0.82367,0.93633
-0.88924,,,,0.764,182.3322,0.83733,,1.00167,,,,,,,1.28,,,,,,,,,0.46509,,,0.83667,2021-03-01T04:00:00.0,,,,,,0.46509,182.3322,,,,,,,,-0.88924,,0.764,0.83733,0.83733,0.83667,1.00167
6.13704,,,,0.81033,398.88031,0.90867,,1.01533,,,,,,,1.22333,,,,,,,,,0.63406,0.03112,0.76474,0.889,2021-03-01T04:30:00.0,,,,,,0.03112,0.76474,,,,,,,,6.13704,,0.81033,0.90867,0.90867,0.889,1.01533
3.51127,,,,1.23333,594.11688,1.244,,1.17867,,,,,,,1.28967,,,,,,,,,0.67045,,,1.12633,2021-03-01T05:00:00.0,,,,,,0.67045,594.11688,,,,,,,,3.51127,,1.23333,1.244,1.244,1.12633,1.17867
3.29168,,,,1.38567,679.59399,1.38967,,1.284,,,,,,,1.35667,,,,,,,,,0.67586,,,1.24633,2021-03-01T05:30:00.0,,,,,,0.67586,679.59399,,,,,,,,3.29168,,1.38567,1.38967,1.38967,1.24633,1.284
5.6831,,,,1.65233,603.64789,1.63467,,1.50567,,,,,,,1.563,,,,,,,,,0.75377,,,1.49267,2021-03-01T06:00:00.0,,,,,,0.75377,603.64789,,,,,,,,5.6831,,1.65233,1.63467,1.63467,1.49267,1.50567
-0.89695,,,,1.805,534.24213,1.784,,1.66167,,,,,,,1.70633,,,,,,,,,0.67435,0.04132,1.07738,1.636,2021-03-01T06:30:00.0,,,,,,0.04132,1.07738,,,,,,,,-0.89695,,1.805,1.784,1.784,1.636,1.66167
13.48205,,,,2.142,476.7579,2.12967,,2.026,,,,,,,2.09067,,,,,,,,,0.79805,0.06215,1.61833,2.01567,2021-03-01T07:00:00.0,,,,,,0.06215,1.61833,,,,,,,,13.48205,,2.142,2.12967,2.12967,2.01567,2.026
9.86043,,,,2.994,1438.38501,2.97667,,2.85133,,,,,,,2.90167,,,,,,,,,0.97905,,,2.832,2021-03-01T07:30:00.0,,,,,,0.97905,1438.38501,,,,,,,,9.86043,,2.994,2.97667,2.97667,2.832,2.85133
6.46906,,,,3.18633,2056.15991,3.251,,3.10067,,,,,,,3.133,,,,,,,,,0.81443,,,3.066,2021-03-01T08:00:00.0,,,,,,0.81443,2056.15991,,,,,,,,6.46906,,3.18633,3.251,3.251,3.066,3.10067
3.74024,,,,3.58333,44842.28125,3.61967,,3.33567,,,,,,,3.30533,,,,,,,,,0.97633,0.13636,14.20856,3.33933,2021-03-01T08:30:00.0,,,,,,0.13636,14.20856,,,,,,,,3.74024,,3.58333,3.61967,3.61967,3.33933,3.33567
1.3658,,,,3.67,-7438.53418,3.675,,3.32733,,,,,,,3.29,,,,,,,,,0.9576,0.11024,9.88263,3.347,2021-03-01T09:00:00.0,,,,,,0.11024,9.88263,,,,,,,,1.3658,,3.67,3.675,3.675,3.347,3.32733
7.37246,,,,3.95267,-3444.12988,3.93833,,3.57433,,,,,,,3.53733,,,,,,,,,0.9803,,,3.60267,2021-03-01T09:30:00.0,,,,,,0.9803,-3444.12988,,,,,,,,7.37246,,3.95267,3.93833,3.93833,3.60267,3.57433
9.26186,,,,4.38467,-3415.83691,4.39133,,4.01533,,,,,,,3.97433,,,,,,,,,1.01554,0.05681,1.02566,4.045,2021-03-01T10:00:00.0,,,,,,0.05681,1.02566,,,,,,,,9.26186,,4.38467,4.39133,4.39133,4.045,4.01533
9.36629,,,,5.008,-1113.22302,5.039,,4.562,,,,,,,4.48467,,,,,,,,,0.96002,,,4.608,2021-03-01T10:30:00.0,,,,,,0.96002,-1113.22302,,,,,,,,9.36629,,5.008,5.039,5.039,4.608,4.562
7.66858,,,,5.354,-1633.94104,5.349,,4.90367,,,,,,,4.83333,,,,,,,,,0.83722,0.05569,1.02054,4.949,2021-03-01T11:00:00.0,,,,,,0.05569,1.02054,,,,,,,,7.66858,,5.354,5.349,5.349,4.949,4.90367
1.82949,,,,5.67067,-1192.38403,5.714,,5.241,,,,,,,5.162,,,,,,,,,0.81411,0.07604,3.16936,5.287,2021-03-01T11:30:00.0,,,,,,0.07604,3.16936,,,,,,,,1.82949,,5.67067,5.714,5.714,5.287,5.241
9.46593,,,,5.87933,-1345.53699,5.93167,,5.42667,,,,,,,5.34633,,,,,,,,,0.95377,,,5.473,2021-03-01T12:00:00.0,,,,,,0.95377,-1345.53699,,,,,,,,9.46593,,5.87933,5.93167,5.93167,5.473,5.42667
1.67777,,,,6.33533,-1295.36401,6.42267,,5.85333,,,,,,,5.76033,,,,,,,,,1.0782,,,5.91267,2021-03-01T12:30:00.0,,,,,,1.0782,-1295.36401,,,,,,,,1.67777,,6.33533,6.42267,6.42267,5.91267,5.85333
-1.41404,,,,6.251,-2328.86011,6.25733,,5.805,,,,,,,5.745,,,,,,,,,1.0526,,,5.85367,2021-03-01T13:00:00.0,,,,,,1.0526,-2328.86011,,,,,,,,-1.41404,,6.251,6.25733,6.25733,5.85367,5.805
-4.08935,,,,6.098,-6480.12207,6.10433,,5.71767,,,,,,,5.66967,,,,,,,,,0.87751,0.04693,0.57822,5.75533,2021-03-01T13:30:00.0,,,,,,0.04693,0.57822,,,,,,,,-4.08935,,6.098,6.10433,6.10433,5.75533,5.71767
4.2263,,,,6.129,-1492.27905,6.15167,,5.71467,,,,,,,5.64333,,,,,,,,,0.85946,,,5.76067,2021-03-01T14:00:00.0,,,,,,0.85946,-1492.27905,,,,,,,,4.2263,,6.129,6.15167,6.15167,5.76067,5.71467
-2.62643,,,,6.112,-5814.41211,6.15333,,5.75867,,,,,,,5.70467,,,,,,,,,0.93348,,,5.798,2021-03-01T14:30:00.0,,,,,,0.93348,-5814.41211,,,,,,,,-2.62643,,6.112,6.15333,6.15333,5.798,5.75867
-5.28174,,,,6.027,-124575.79688,6.00133,,5.65433,,,,,,,5.621,,,,,,,,,1.17974,,,5.69,2021-03-01T15:00:00.0,,,,,,1.17974,-124575.79688,,,,,,,,-5.28174,,6.027,6.00133,6.00133,5.69,5.65433
-8.996,,,,5.58,5465.75977,5.54833,,5.25167,,,,,,,5.225,,,,,,,,,1.15744,0.0671,1.29532,5.27367,2021-03-01T15:30:00.0,,,,,,0.0671,1.29532,,,,,,,,-8.996,,5.58,5.54833,5.54833,5.27367,5.25167
-11.51902,,,,5.056,1968.83105,5.02433,,4.774,,,,,,,4.77367,,,,,,,,,1.04615,0.09569,4.63752,4.789,2021-03-01T16:00:00.0,,,,,,0.09569,4.63752,,,,,,,,-11.51902,,5.056,5.02433,5.02433,4.789,4.774
-4.97799,,,,4.52433,1675.45105,4.51167,,4.311,,,,,,,4.31567,,,,,,,,,0.97065,,,4.31533,2021-03-01T16:30:00.0,,,,,,0.97065,1675.45105,,,,,,,,-4.97799,,4.52433,4.51167,4.51167,4.31533,4.311
-5.37403,,,,4.234,1848.995,4.20033,,4.01833,,,,,,,4.04833,,,,,,,,,0.94392,,,4.01933,2021-03-01T17:00:00.0,,,,,,0.94392,1848.995,,,,,,,,-5.37403,,4.234,4.20033,4.20033,4.01933,4.01833
-6.62931,,,,3.92967,1081.29102,3.87267,,3.70333,,,,,,,3.74833,,,,,,,,,0.83669,,,3.704,2021-03-01T17:30:00.0,,,,,,0.83669,1081.29102,,,,,,,,-6.62931,,3.92967,3.87267,3.87267,3.704,3.70333
-2.60758,,,,3.65867,808.06482,3.62033,,3.498,,,,,,,3.545,,,,,,,,,0.83769,0.07592,3.53664,3.483,2021-03-01T18:00:00.0,,,,,,0.07592,3.53664,,,,,,,,-2.60758,,3.65867,3.62033,3.62033,3.483,3.498
-1.44928,,,,3.55633,767.70038,3.52633,,3.38667,,,,,,,3.433,,,,,,,,,0.88538,,,3.384,2021-03-01T18:30:00.0,,,,,,0.88538,767.70038,,,,,,,,-1.44928,,3.55633,3.52633,3.52633,3.384,3.38667
5.79194,,,,3.71333,1158.46497,3.68367,,3.57933,,,,,,,3.62933,,,,,,,,,0.9687,0.11801,9.79977,3.55867,2021-03-01T19:00:00.0,,,,,,0.11801,9.79977,,,,,,,,5.79194,,3.71333,3.68367,3.68367,3.55867,3.57933
3.04267,,,,3.87667,1968.73401,3.86333,,3.74367,,,,,,,3.79733,,,,,,,,,1.13549,,,3.72467,2021-03-01T19:30:00.0,,,,,,1.13549,1968.73401,,,,,,,,3.04267,,3.87667,3.86333,3.86333,3.72467,3.74367
0.49938,,,,4.026,1675.93604,3.97967,,3.818,,,,,,,3.856,,,,,,,,,1.02848,,,3.81633,2021-03-01T20:00:00.0,,,,,,1.02848,1675.93604,,,,,,,,0.49938,,4.026,3.97967,3.97967,3.81633,3.818
2.71844,,,,4.10067,1428.30505,4.05133,,3.87,,,,,,,3.891,,,,,,,,,0.94906,0.10419,7.89519,3.88067,2021-03-01T20:30:00.0,,,,,,0.10419,7.89519,,,,,,,,2.71844,,4.10067,4.05133,4.05133,3.88067,3.87
1.39566,,,,4.23,2274.53809,4.17467,,3.98033,,,,,,,3.998,,,,,,,,,1.03283,,,3.989,2021-03-01T21:00:00.0,,,,,,1.03283,2274.53809,,,,,,,,1.39566,,4.23,4.17467,4.17467,3.989,3.98033
-4.05784,,,,4.13033,1574.57495,4.08267,,3.89733,,,,,,,3.92,,,,,,,,,0.99446,,,3.90167,2021-03-01T21:30:00.0,,,,,,0.99446,1574.57495,,,,,,,,-4.05784,,4.13033,4.08267,4.08267,3.90167,3.89733
-3.66158,,,,3.90467,1265.94604,3.859,,3.66133,,,,,,,3.68433,,,,,,,,,0.93564,0.06626,2.21668,3.668,2021-03-01T22:00:00.0,,,,,,0.06626,2.21668,,,,,,,,-3.66158,,3.90467,3.859,3.859,3.668,3.66133
