HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
-0.75594,,,,,76.05033,-2.95633,,-3.08533,,,,,0.18341,,-3.09767,0.399,,,,,,,,0.17493,,,-2.96833,2020-03-01T00:00:00.0,,,,,,0.17493,76.05033,,,,,,,0.18341,-0.75594,0.399,-2.95633,-2.95633,-2.96833,-3.08533
-1.83112,,,,,35.20047,-3.012,,-3.091,,,,,0.09321,,-3.12,-0.46425,,,,,,,,0.12749,,,-2.98433,2020-03-01T00:30:00.0,,,,,,0.12749,35.20047,,,,,,,0.09321,-1.83112,-0.46425,-3.012,-3.012,-2.98433,-3.091
-8.07914,,,,,23.34534,-3.23533,,-3.24667,,,,,0.16732,,-3.24967,-2.79072,,,,,,,,0.12253,,,-3.162,2020-03-01T01:00:00.0,,,,,,0.12253,23.34534,,,,,,,0.16732,-8.07914,-2.79072,-3.23533,-3.23533,-3.162,-3.24667
-10.32864,,,,,33.04065,-3.68267,,-3.41133,,,,,0.30071,,-3.35433,-3.64709,,,,,,,,0.17,,,-3.418,2020-03-01T01:30:00.0,,,,,,0.17,33.04065,,,,,,,0.30071,-10.32864,-3.64709,-3.68267,-3.68267,-3.418,-3.41133
-10.35417,,,,,16.51039,-4.13967,,-3.76733,,,,,0.21925,,-3.65433,-4.12654,,,,,,,,0.10828,,,-3.86767,2020-03-01T02:00:00.0,,,,,,0.10828,16.51039,,,,,,,0.21925,-10.35417,-4.12654,-4.13967,-4.13967,-3.86767,-3.76733
-2.5493,,,,,1.78577,-4.48767,,-3.87767,,,,,0.32077,,-3.676,-3.6335,,,,,,,,0.03768,,,-3.97267,2020-03-01T02:30:00.0,,,,,,0.03768,1.78577,,,,,,,0.32077,-2.5493,-3.6335,-4.48767,-4.48767,-3.97267,-3.87767
-4.32791,,,,,,-4.24333,,-3.65333,,,,,-0.2229,,-3.30267,-2.81912,,,,,,,,,,,-3.86967,2020-03-01T03:00:00.0,,,,,,,,,,,,,,-0.2229,-4.32791,-2.81912,-4.24333,-4.24333,-3.86967,-3.65333
0.3421,,,,,4.08963,-4.557,,-4.01,,,,,0.03842,,-3.68633,1.50724,,,,,,,,0.06633,,,-4.14533,2020-03-01T03:30:00.0,,,,,,0.06633,4.08963,,,,,,,0.03842,0.3421,1.50724,-4.557,-4.557,-4.14533,-4.01
-2.37819,,,,,4.08645,-4.627,,-3.952,,,,,-0.02029,,-3.68633,0.04816,,,,,,,,0.07562,,,-4.27033,2020-03-01T04:00:00.0,,,,,,0.07562,4.08645,,,,,,,-0.02029,-2.37819,0.04816,-4.627,-4.627,-4.27033,-3.952
-0.93447,,,,,12.02875,-4.864,,-4.25567,,,,,-0.05457,,-3.81033,-0.98087,,,,,,,,0.10334,0.05653,-44.14986,-4.56567,2020-03-01T04:30:00.0,,,,,,0.05653,-44.14986,,,,,,,-0.05457,-0.93447,-0.98087,-4.864,-4.864,-4.56567,-4.25567
1.72421,,,,,22.93549,-5.02833,,-4.757,,,,,0.87633,,-4.37167,1.67119,,,,,,,,0.11696,,,-4.77467,2020-03-01T05:00:00.0,,,,,,0.11696,22.93549,,,,,,,0.87633,1.72421,1.67119,-5.02833,-5.02833,-4.77467,-4.757
-4.32797,,,,,284.0022,-5.079,,-5.00733,,,,,0.67325,,-4.15767,-1.19802,,,,,,,,0.2156,0.06031,10.9103,-5.05133,2020-03-01T05:30:00.0,,,,,,0.06031,10.9103,,,,,,,0.67325,-4.32797,-1.19802,-5.079,-5.079,-5.05133,-5.00733
2.40522,,,,,,-5.23333,,-5.20067,,,,,-0.64911,,-4.484,0.36228,,,,,,,,0.25473,0.04417,-9.56304,-5.268,2020-03-01T06:00:00.0,,,,,,0.04417,-9.56304,,,,,,,-0.64911,2.40522,0.36228,-5.23333,-5.23333,-5.268,-5.20067
2.85576,,,,,,-4.99567,,-4.867,,,,,-0.49487,,-4.117,2.22329,,,,,,,,0.30015,,,-4.992,2020-03-01T06:30:00.0,,,,,,0.30015,,,,,,,,-0.49487,2.85576,2.22329,-4.99567,-4.99567,-4.992,-4.867
1.73338,,,,,2186.84497,-4.99467,,-4.88467,,,,,0.35428,,-4.333,0.49606,,,,,,,,0.26283,,,-5.00333,2020-03-01T07:00:00.0,,,,,,0.26283,2186.84497,,,,,,,0.35428,1.73338,0.49606,-4.99467,-4.99467,-5.00333,-4.88467
3.70025,,,,,,-4.773,,-4.64533,,,,,-0.10488,,-4.254,2.09721,,,,,,,,0.32925,0.05172,-27.72263,-4.776,2020-03-01T07:30:00.0,,,,,,0.05172,-27.72263,,,,,,,-0.10488,3.70025,2.09721,-4.773,-4.773,-4.776,-4.64533
5.74711,,,,,1433.47595,-4.55067,,-4.475,,,,,-0.11742,,-3.98233,3.36454,,,,,,,,0.34437,0.039,-14.93624,-4.57,2020-03-01T08:00:00.0,,,,,,0.039,-14.93624,,,,,,,-0.11742,5.74711,3.36454,-4.55067,-4.55067,-4.57,-4.475
6.87631,,,,,,-4.20267,,-4.18833,,,,,-0.39901,,-3.796,4.4298,,,,,,,,0.34036,0.03719,-11.33565,-4.231,2020-03-01T08:30:00.0,,,,,,0.03719,-11.33565,,,,,,,-0.39901,6.87631,4.4298,-4.20267,-4.20267,-4.231,-4.18833
8.24993,,,,,,-3.78467,,-3.855,,,,,-0.38962,,-3.62,5.53568,,,,,,,,0.41477,0.04235,,-3.83367,2020-03-01T09:00:00.0,,,,,,0.04235,,,,,,,,-0.38962,8.24993,5.53568,-3.78467,-3.78467,-3.83367,-3.855
