HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
-0.43596,,,,,3847.63208,-6.978,,-7.37333,,,,,-0.02113,,-7.32,-0.2374,,,,,,,,0.54204,-7.08533,2023-12-01T00:00:00.0,,,,,,0.54204,3847.63208,,,,,,,-0.02113,-0.43596,-0.2374,-6.978,-6.978,-7.08533,-7.37333
0.14583,,,,,6260.40283,-6.969,,-7.361,,,,,-0.00982,,-7.307,0.00888,,,,,,,,0.62962,-7.07567,2023-12-01T00:30:00.0,,,,,,0.62962,6260.40283,,,,,,,-0.00982,0.14583,0.00888,-6.969,-6.969,-7.07567,-7.361
0.05236,,,,,3056.73193,-6.959,,-7.346,,,,,-0.06066,,-7.29733,-0.1776,,,,,,,,0.65539,-7.06133,2023-12-01T01:00:00.0,,,,,,0.65539,3056.73193,,,,,,,-0.06066,0.05236,-0.1776,-6.959,-6.959,-7.06133,-7.346
-0.85306,,,,,3068.69189,-6.991,,-7.387,,,,,-0.01983,,-7.33367,-0.23397,,,,,,,,0.63042,-7.092,2023-12-01T01:30:00.0,,,,,,0.63042,3068.69189,,,,,,,-0.01983,-0.85306,-0.23397,-6.991,-6.991,-7.092,-7.387
-1.24362,,,,,5868.62402,-7.02833,,-7.43033,,,,,0.06185,,-7.382,-0.13287,,,,,,,,0.58958,-7.141,2023-12-01T02:00:00.0,,,,,,0.58958,5868.62402,,,,,,,0.06185,-1.24362,-0.13287,-7.02833,-7.02833,-7.141,-7.43033
-1.04517,,,,,4687.66211,-7.09233,,-7.49433,,,,,-0.08425,,-7.44533,-0.61989,,,,,,,,0.64663,-7.209,2023-12-01T02:30:00.0,,,,,,0.64663,4687.66211,,,,,,,-0.08425,-1.04517,-0.61989,-7.09233,-7.09233,-7.209,-7.49433
-1.52283,,,,,11461.13965,-7.166,,-7.57767,,,,,-0.07324,,-7.51533,-0.59862,,,,,,,,0.70068,-7.278,2023-12-01T03:00:00.0,,,,,,0.70068,11461.13965,,,,,,,-0.07324,-1.52283,-0.59862,-7.166,-7.166,-7.278,-7.57767
-1.37932,,,,,11152.44043,-7.23967,,-7.64467,,,,,0.04993,,-7.59433,-0.32603,,,,,,,,0.57866,-7.348,2023-12-01T03:30:00.0,,,,,,0.57866,11152.44043,,,,,,,0.04993,-1.37932,-0.32603,-7.23967,-7.23967,-7.348,-7.64467
-1.23325,,,,,-7857.36182,-7.32333,,-7.733,,,,,-0.04104,,-7.668,-0.43894,,,,,,,,0.62106,-7.44067,2023-12-01T04:00:00.0,,,,,,0.62106,-7857.36182,,,,,,,-0.04104,-1.23325,-0.43894,-7.32333,-7.32333,-7.44067,-7.733
-1.81017,,,,,-14496.33984,-7.38867,,-7.81,,,,,0.08807,,-7.73767,-0.57486,,,,,,,,0.52463,-7.51267,2023-12-01T04:30:00.0,,,,,,0.52463,-14496.33984,,,,,,,0.08807,-1.81017,-0.57486,-7.38867,-7.38867,-7.51267,-7.81
-1.58638,,,,,-8161.43799,-7.48567,,-7.90533,,,,,-0.25446,,-7.835,-0.85113,,,,,,,,0.71884,-7.60667,2023-12-01T05:00:00.0,,,,,,0.71884,-8161.43799,,,,,,,-0.25446,-1.58638,-0.85113,-7.48567,-7.48567,-7.60667,-7.90533
-2.04975,,,,,-12495.0,-7.574,,-7.991,,,,,-0.14231,,-7.92833,-0.71871,,,,,,,,0.60354,-7.69733,2023-12-01T05:30:00.0,,,,,,0.60354,-12495.0,,,,,,,-0.14231,-2.04975,-0.71871,-7.574,-7.574,-7.69733,-7.991
-1.4941,,,,,-16489.13086,-7.658,,-8.079,,,,,0.00387,,-8.02633,-0.80494,,,,,,,,0.70211,-7.78167,2023-12-01T06:00:00.0,,,,,,0.70211,-16489.13086,,,,,,,0.00387,-1.4941,-0.80494,-7.658,-7.658,-7.78167,-8.079
-0.65741,,,,,-19281.09961,-7.73467,,-8.165,,,,,0.10266,,-8.09533,-0.08418,,,,,,,,0.64149,-7.862,2023-12-01T06:30:00.0,,,,,,0.64149,-19281.09961,,,,,,,0.10266,-0.65741,-0.08418,-7.73467,-7.73467,-7.862,-8.165
-2.41741,,,,,-7270.57178,-7.82267,,-8.24833,,,,,-0.12197,,-8.17767,-1.13191,,,,,,,,0.56718,-7.94433,2023-12-01T07:00:00.0,,,,,,0.56718,-7270.57178,,,,,,,-0.12197,-2.41741,-1.13191,-7.82267,-7.82267,-7.94433,-8.24833
-1.32751,,,,,,-7.89233,,-8.31433,,,,,-0.04023,,-8.26333,-0.7466,,,,,,,,0.7207,-8.00933,2023-12-01T07:30:00.0,,,,,,0.7207,,,,,,,,-0.04023,-1.32751,-0.7466,-7.89233,-7.89233,-8.00933,-8.31433
-1.02117,,,,,,-7.97567,,-8.38033,,,,,0.2196,,-8.329,-0.17964,,,,,,,,0.64136,-8.09167,2023-12-01T08:00:00.0,,,,,,0.64136,,,,,,,,0.2196,-1.02117,-0.17964,-7.97567,-7.97567,-8.09167,-8.38033
-1.61232,,,,,,-8.02133,,-8.422,,,,,0.22633,,-8.39067,-1.41287,,,,,,,,0.61468,-8.13333,2023-12-01T08:30:00.0,,,,,,0.61468,,,,,,,,0.22633,-1.61232,-1.41287,-8.02133,-8.02133,-8.13333,-8.422
-0.79112,,,,,,-8.084,,-8.50433,,,,,0.15967,,-8.483,0.13577,,,,,,,,0.505,-8.208,2023-12-01T09:00:00.0,,,,,,0.505,,,,,,,,0.15967,-0.79112,0.13577,-8.084,-8.084,-8.208,-8.50433
-1.21208,,,,,-2757.15894,-8.15067,,-8.573,,,,,0.08243,,-8.539,-1.38403,,,,,,,,0.52653,-8.27267,2023-12-01T09:30:00.0,,,,,,0.52653,-2757.15894,,,,,,,0.08243,-1.21208,-1.38403,-8.15067,-8.15067,-8.27267,-8.573
