HYY_EDDY233.H_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.F_c,HYY_EDDY233.tau,HYY_META.T42,HYY_EDDYMAST.MO_length_270,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.u_star_460,HYY_EDDY233.E,HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.MO_length_460,HYY_EDDY233.Qc_F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_EDDY233.u_star,HYY_META.T84,HYY_EDDYMAST.u_star_270,HYY_EDDYSUB.u_star_subm,HYY_EDDYSUB.MO_length_subm,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
2.08927,,,,,474.02249,-3.03067,,-3.02533,,,,,0.03349,,-2.96033,1.91027,,,,,,,,0.67928,0.07109,16.85275,-2.96267,2020-01-01T00:00:00.0,,,,,,0.07109,16.85275,,,,,,,0.03349,2.08927,1.91027,-3.03067,-3.03067,-2.96267,-3.02533
3.00996,,,,,400.23331,-2.852,,-2.84167,,,,,-0.08516,,-2.76867,2.96074,,,,,,,,0.67127,0.08512,-582.0128,-2.76467,2020-01-01T00:30:00.0,,,,,,0.08512,-582.0128,,,,,,,-0.08516,3.00996,2.96074,-2.852,-2.852,-2.76467,-2.84167
3.63296,,,,,257.46701,-2.68633,,-2.64,,,,,-0.09705,,-2.56367,2.45742,,,,,,,,0.55841,0.07904,972.4156,-2.55633,2020-01-01T01:00:00.0,,,,,,0.07904,972.4156,,,,,,,-0.09705,3.63296,2.45742,-2.68633,-2.68633,-2.55633,-2.64
2.52747,,,,,365.00699,-2.534,,-2.54033,,,,,-0.19234,,-2.468,2.45585,,,,,,,,0.63885,0.08347,24.6539,-2.456,2020-01-01T01:30:00.0,,,,,,0.08347,24.6539,,,,,,,-0.19234,2.52747,2.45585,-2.534,-2.534,-2.456,-2.54033
4.82326,,,,,342.3624,-2.346,,-2.31467,,,,,-0.07535,,-2.232,2.28171,,,,,,,,0.63941,0.07357,14.92988,-2.25133,2020-01-01T02:00:00.0,,,,,,0.07357,14.92988,,,,,,,-0.07535,4.82326,2.28171,-2.346,-2.346,-2.25133,-2.31467
3.77398,,,,,424.6929,-2.14133,,-2.09333,,,,,0.00165,,-2.024,2.40116,,,,,,,,0.67074,0.05518,4.18918,-2.03733,2020-01-01T02:30:00.0,,,,,,0.05518,4.18918,,,,,,,0.00165,3.77398,2.40116,-2.14133,-2.14133,-2.03733,-2.09333
4.68529,,,,,372.759,-1.884,,-1.855,,,,,-0.01397,,-1.79933,2.67178,,,,,,,,0.66948,0.05826,3.41323,-1.80233,2020-01-01T03:00:00.0,,,,,,0.05826,3.41323,,,,,,,-0.01397,4.68529,2.67178,-1.884,-1.884,-1.80233,-1.855
2.93836,,,,,485.23309,-1.67233,,-1.669,,,,,0.03331,,-1.61333,1.32248,,,,,,,,0.72753,0.08253,11.46657,-1.61567,2020-01-01T03:30:00.0,,,,,,0.08253,11.46657,,,,,,,0.03331,2.93836,1.32248,-1.67233,-1.67233,-1.61567,-1.669
-1.11366,,,,,312.46841,-1.624,,-1.61567,,,,,0.01773,,-1.568,-0.50896,,,,,,,,0.59139,0.05932,8.3094,-1.56033,2020-01-01T04:00:00.0,,,,,,0.05932,8.3094,,,,,,,0.01773,-1.11366,-0.50896,-1.624,-1.624,-1.56033,-1.61567
-2.18378,,,,,321.57709,-1.67567,,-1.692,,,,,0.15533,,-1.64433,-0.45784,,,,,,,,0.56744,0.05054,7.39151,-1.609,2020-01-01T04:30:00.0,,,,,,0.05054,7.39151,,,,,,,0.15533,-2.18378,-0.45784,-1.67567,-1.67567,-1.609,-1.692
