time,zeta,phi_obs
308.0417,0.9165455817457757,4.577777777777779
308.75,0.24225923943400776,1.8181818181818195
308.7917,0.10321738770485027,0.7225806451612902
308.8333,0.33078556756311706,2.4380952380952365
308.875,0.060610880603548356,1.2190476190476192
308.9167,0.043829092119594106,0.9444444444444452
309.125,0.10644961036863566,1.2133333333333334
309.1667,0.1444310645125561,1.5555555555555554
309.2083,0.3299736926453037,2.4410256410256412
309.25,0.5790570754998101,3.0060606060606068
309.2917,0.07803660985597345,1.3754385964912288
309.3333,0.39119046787263606,2.342857142857143
309.375,0.5635200089425443,3.2666666666666675
309.4167,0.2099949823634281,1.7403508771929828
309.4583,0.15341133773149057,1.5272727272727282
309.5,0.1555073690227674,1.4476190476190474
309.5417,0.11961566007677132,1.3565217391304347
309.5833,0.010577196094163027,0.6707070707070708
309.625,0.004483025681316513,0.6780952380952385
310.875,0.10336518774273364,1.3333333333333335
312.1667,6.15200980198411,2.826666666666668
312.75,0.06759812093170943,1.1111111111111112
312.7917,0.023451843635250914,0.8399999999999999
312.9167,0.8323823091873975,1.5407407407407405
313.1667,0.2716124035877907,0.633333333333334
313.4583,1.3879074885539682,1.1199999999999997
313.5417,0.3364951826061892,0.6060606060606061
313.6667,0.08985188738901143,0.8313725490196074
313.9167,0.0031242345812206684,0.6740740740740742
314.4167,0.002065747495848362,0.6909090909090914
314.5,0.005837553249336909,0.8195121951219512
314.7083,0.009742519137091165,0.9422222222222212
314.7917,0.012252455949506096,0.9714285714285711
315.1667,0.005886953215464649,0.6666666666666667
315.2917,0.03556929127622343,0.9523809523809524
315.3333,0.020228889576244975,0.8319999999999993
315.9583,0.007934076344879516,0.7407407407407407
316.5417,0.03516773602199818,0.9813333333333333
316.625,0.010892954344424033,0.6311111111111118
316.6667,0.0077054889207689254,0.6476190476190481
317.0417,0.020989134702404766,0.5763440860215053
317.1667,0.004041004097849377,0.5675213675213675
317.5417,0.016609615407221473,0.7636363636363637
317.5833,0.010931207923856693,0.5760000000000001
317.6667,0.12270085689870469,1.129411764705882
317.75,0.4062207954690831,2.266666666666667
317.7917,0.7470112145417832,0.9212121212121221
317.8333,1.1451596119364755,4.333333333333333
317.875,1.6949498097889655,5.409523809523809
317.9167,3.0063603400107,7.093333333333334
318.5,0.11296121310638955,1.1259259259259264
319.3333,0.12362252136329145,2.3555555555555547
320.2083,1.8370895156091995,6.171428571428572
322.7083,1.613490924825215,1.5111111111111124
323.125,2.4554859509865934,4.693333333333335
323.2083,3.2957145469692963,4.053333333333335
323.5,0.9672150593559811,2.9037037037037035
323.5417,0.3764975310897719,1.7555555555555558
323.5833,0.4925701257989659,2.159999999999999
323.7083,0.43981192324071466,1.2121212121212113
323.75,0.308657164398816,0.5538461538461548
323.9167,0.19993448629906135,1.7623188405797094
326.875,0.255917559968005,1.394871794871796
326.9583,0.09370532452686361,1.1607843137254905
327.9167,0.02937251680970275,0.829629629629629
327.9583,0.02138518030499739,0.9866666666666669
328.0,0.03657099565049753,0.990476190476191
328.0417,0.06440297032863783,1.2043010752688175
328.0833,0.10618875600359448,1.271794871794872
328.125,0.1797565795595157,1.3575757575757568
328.1667,0.20137017935493803,1.4666666666666675
328.2083,0.7572793949460553,2.3111111111111113
328.4167,0.3288302008641754,2.2888888888888888
328.4583,0.5113561251263162,2.9777777777777774
328.5,0.5053340346476234,2.7777777777777777
328.5417,1.2634284212044113,2.729411764705881
328.5833,0.3632982629410174,1.5238095238095235
328.625,0.4905399202409051,1.8346666666666673
328.6667,0.3581881693917581,1.1692307692307697
328.7083,0.6404777762613519,1.3754385964912288
328.75,0.5235329132371354,1.2266666666666666
328.8333,1.2577472585490965,2.0952380952380962
328.875,1.153983559657474,2.543589743589742
328.9583,1.8688290775727343,4.5538461538461545
330.0833,3.896226225218878,7.786666666666666
330.125,0.7750724656374759,4.237037037037037
330.1667,0.2799462680864864,2.3333333333333344
330.2083,0.33239077400754063,2.511111111111111
330.25,0.12336394884887877,1.493333333333334
330.2917,0.05185126456830255,1.093333333333333
330.3333,0.028509315929565533,0.921212121212121
330.375,0.023595674479919677,0.7999999999999995
330.4167,0.01480022653495712,0.8000000000000002
330.4583,0.018499046573094046,0.8285714285714286
330.5,0.01276484595748722,0.7741935483870972
330.5417,0.00766877486700094,0.7695238095238093
330.5833,0.00770819260995969,0.8235294117647064
330.625,0.0030388125348589064,0.7925925925925921
330.6667,0.00609785629499961,0.856565656565657
330.7083,0.02720915692461856,0.9481481481481481
330.75,0.06622068054891032,1.1393939393939398
330.7917,0.22992081273115883,1.7411764705882358
330.8333,0.11923151741608924,1.2825396825396822
330.875,0.1722655580031952,1.568627450980392
330.9167,0.11307653646961088,1.3052631578947365
330.9583,0.18020273503099823,1.5719298245614037
331.0417,0.20503521338710654,1.9833333333333325
331.0833,1.339366732537506,5.399999999999999
331.125,0.7623318161631333,2.192592592592591
331.1667,0.3340985762842514,2.6864197530864202
331.2083,0.3003669420906701,2.24367816091954
331.25,0.33936116247076514,2.533333333333333
331.2917,0.21458243028464102,2.1155555555555563
331.3333,0.14236781023741224,1.6380952380952385
331.625,0.026604842028549878,1.2799999999999998
331.6667,0.026451243762268907,1.1368421052631588
331.7083,0.11869047994414623,1.7204301075268817
331.75,0.2281599780075465,2.1677419354838725
331.7917,0.307806419038172,2.488888888888888
331.8333,0.23560393321673223,2.164705882352941
331.875,0.19168745982220584,1.852631578947369
331.9167,0.21736984927956915,1.866666666666667
332.0,0.14446211388612154,1.2666666666666664
332.0833,0.17205535273172173,1.1764705882352942
332.125,0.7400320948031107,2.0
332.1667,0.3049627062228697,1.4285714285714286
332.2083,1.0190116640715443,2.0148148148148164
332.3333,0.357920350285622,1.4358974358974361
332.375,2.731517967010937,3.466666666666668
332.4167,3.476267596860596,3.4133333333333313
332.4583,0.3257481224925281,1.4222222222222216
332.5833,0.38853994156829563,1.5272727272727273
332.625,0.41467128842425705,1.3575757575757579
