model,rmse_train,rmse_test,mae_train,mae_test
Grachev,0.8167741859530884,0.3410727610284458,0.5341063022187151,0.2610645111520214
Grachev+ULTRA,0.7908927838081342,0.3301766276026332,0.46077365994020264,0.2256491446251999
