model,rmse_train,rmse_test,mae_train,mae_test
Grachev-C1,0.8408404494927211,0.33960822756063863,0.571345315158136,0.27593273041754307
Grachev-C1+ULTRA,0.8014495464923528,0.30991204360147956,0.46907021444382807,0.21160125290132628
