run_dir,collection,run_name,year,month,title,observable,time_range,input,n_profiles,n_stable,stable_fraction,mean_c2,mean_c3,mean_shape_ratio,median_ustar,c1_c3_corr,c1_c3_slope,c1_mean,c3_mean,c1_skew,c3_skew,rib_available,rib_window_count,rib_laminar_fraction
hyy_station2_ri_curvature_tier1/dct/2022_03,hyy_station2_ri_curvature_tier1/dct,2022_03,2022,3,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1486.0,218.0,0.14670255720053835,-0.11936458593530844,0.07657433351244058,0.9717713049572636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2022_11,hyy_station2_ri_curvature_tier1/dct,2022_11,2022,11,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1383.0,145.0,0.10484454085321765,-0.20571488031658805,0.011525358008873828,0.16825021994186645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2022_12,hyy_station2_ri_curvature_tier1/dct,2022_12,2022,12,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1453.0,233.0,0.16035788024776323,-0.07462760117500548,-0.009738250529077496,0.3029805902881386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2023_01,hyy_station2_ri_curvature_tier1/dct,2023_01,2023,1,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1443.0,149.0,0.10325710325710326,-0.15707303384476531,0.0033678049227071115,0.2813964723810433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2023_02,hyy_station2_ri_curvature_tier1/dct,2023_02,2023,2,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1344.0,207.0,0.15401785714285715,-0.09279089045533961,-0.020889700034936457,0.4682141150714485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2023_03,hyy_station2_ri_curvature_tier1/dct,2023_03,2023,3,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1488.0,248.0,0.16666666666666666,-0.08573689457751701,-0.028767709363061018,0.34687679792790993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2023_11,hyy_station2_ri_curvature_tier1/dct,2023_11,2023,11,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1261.0,159.0,0.1260904044409199,-0.17883173821512435,-0.017233808184414345,0.24011772775472148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2023_12,hyy_station2_ri_curvature_tier1/dct,2023_12,2023,12,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1488.0,85.0,0.05712365591397849,-0.02034913536982313,-0.027258617390005718,0.7117366762289712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2024_01,hyy_station2_ri_curvature_tier1/dct,2024_01,2024,1,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1233.0,88.0,0.07137064071370641,0.12215491268751574,-0.020976525307711488,1.482313725101795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2024_02,hyy_station2_ri_curvature_tier1/dct,2024_02,2024,2,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1389.0,166.0,0.11951043916486681,-0.09936893030489627,0.0021278270388912436,1.0611884419812494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hyy_station2_ri_curvature_tier1/dct/2024_03,hyy_station2_ri_curvature_tier1/dct,2024_03,2024,3,DCT-SMEAR Results,,2025-05-01T00:00:00 to 2025-06-01T00:00:00,,1354.0,213.0,0.15731166912850814,-0.16831898382516725,0.04769086254099724,0.44442760387094443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
