mode,coeff,coeff_trunc,abs_coeff
0,99.10645954117975,99.10645954117975,99.10645954117975
1,-58.0876042045762,-58.0876042045762,58.0876042045762
2,33.176481465464626,33.176481465464626,33.176481465464626
3,-16.196471721027816,-16.196471721027816,16.196471721027816
4,10.009152921010926,10.009152921010926,10.009152921010926
5,-8.463979182219472,-8.463979182219472,8.463979182219472
6,-5.373694606987918,-5.373694606987918,5.373694606987918
7,4.993462203577564,4.993462203577564,4.993462203577564
8,-12.431809271336137,0.0,12.431809271336137
9,4.9918246220182345,0.0,4.9918246220182345
10,-7.195823948479418,0.0,7.195823948479418
11,10.839561677955789,0.0,10.839561677955789
12,-10.38363013067643,0.0,10.38363013067643
13,4.690797374086177,0.0,4.690797374086177
14,2.752811853872743,0.0,2.752811853872743
15,-2.3980086360652977,0.0,2.3980086360652977
16,1.5270775337033458,0.0,1.5270775337033458
17,0.546913703355472,0.0,0.546913703355472
18,-1.0481961157123165,0.0,1.0481961157123165
19,-3.3462848451219855,0.0,3.3462848451219855
20,-0.7580828131815963,0.0,0.7580828131815963
21,3.071136308118922,0.0,3.071136308118922
22,-8.554122233293231,0.0,8.554122233293231
23,7.839511028598215,0.0,7.839511028598215
24,-4.679319161189173,0.0,4.679319161189173
25,2.244500840033813,0.0,2.244500840033813
26,7.840983905763388,0.0,7.840983905763388
27,-9.803654028885376,0.0,9.803654028885376
28,10.502495871624548,0.0,10.502495871624548
29,-2.1655413872047733,0.0,2.1655413872047733
30,3.6328084000330083,0.0,3.6328084000330083
31,-8.486142150895176,0.0,8.486142150895176
32,14.810358089230695,0.0,14.810358089230695
33,-15.570731253517025,0.0,15.570731253517025
34,4.1950915911042825,0.0,4.1950915911042825
35,6.016600129068683,0.0,6.016600129068683
36,-6.42863362020428,0.0,6.42863362020428
37,4.581939310762579,0.0,4.581939310762579
38,-5.413780279924131,0.0,5.413780279924131
39,4.958878925982038,0.0,4.958878925982038
40,1.5811609684019636,0.0,1.5811609684019636
41,-8.748172791131624,0.0,8.748172791131624
42,7.958444737203171,0.0,7.958444737203171
43,-7.191407697045991,0.0,7.191407697045991
44,0.36904118474108116,0.0,0.36904118474108116
45,-3.0023800885648053,0.0,3.0023800885648053
46,10.60442692401257,0.0,10.60442692401257
47,-12.102731229802288,0.0,12.102731229802288
