regime,zeta_min,zeta_max,n,zeta_median,phi_median,phi_mean
weak_stable,0.0,0.5,501,0.07733177064497149,8.122714728676058,28.012449414892476
moderate_stable,0.5,2.0,77,0.8165064038985984,39.114605503835065,47.5419141549837
very_stable,2.0,10.0,12,2.373799281383156,44.77837316140639,50.942227738754646
