time,zeta,u_star,L,Ri_g,regime,neutral_transition,phi_m,phi_h,phi_q1,phi_q2,phi_obs
37,0.021644253998189186,0.33062,766.9472,0.4359103195693043,near_neutral,false,2.121150162321295,90.61442892975919,0.342607124310622,-70.35808185655014,2.121150162321295
39,0.03759517694645632,0.32109,441.546,0.40637738257922423,near_neutral,false,2.3758660603984345,61.01565851480092,1.3689261066903504,-36.509130410324175,2.3758660603984345
40,0.056617493577666246,0.25575,293.1956,0.6594298367426945,near_neutral,false,2.3552275442598027,64.60761323651582,0.9713212507900778,-37.10500034019134,2.3552275442598027
41,0.1693409098768698,0.17752,98.02711,0.7032846350223356,strongly_stable,false,3.3278081342947265,45.99237093557614,1.2109169109605051,-19.80439662328596,3.3278081342947265
42,0.07813533322130799,0.20779,212.4519,0.5931797953101019,near_neutral,false,3.08539898722535,72.27058105602745,-2.3849093648330784,-27.111940872302966,3.08539898722535
43,0.01050484646787194,0.3776,1580.223,0.409603489786367,near_neutral,false,2.035739612758945,161.59145585541566,-1.9992185262819357,-20.53123780310881,2.035739612758945
44,0.00692695319215702,0.40825,2396.436,0.23391898100659678,near_neutral,false,2.4431829625093555,201.57431508066395,1.6696821038881329,-22.468904356413244,2.4431829625093555
45,0.018206443743021095,0.36986,911.7651,0.39232438297454175,near_neutral,false,2.116727650702668,96.54952530604011,-2.013759111077114,-31.124898563784345,2.116727650702668
49,0.012535037695727818,0.38538,1324.288,0.2853120304277266,near_neutral,false,2.3739720103101702,128.27606485895535,1.3670099536427482,-28.579297153151725,2.3739720103101702
53,0.024353148825466707,0.38523,681.6367,0.32286010570625423,near_neutral,false,2.233377895456394,66.1277412695362,0.4245179683415685,-17.39245795738686,2.233377895456394
54,0.03524211118079331,0.39795,471.0274,0.27022044213941054,near_neutral,false,2.4108365093325514,44.56478367830027,0.7442320847561524,-93.88934003488549,2.4108365093325514
55,0.048255645619840866,0.35791,344.0012,0.23384557131762548,near_neutral,false,2.877709014370465,40.13051871982424,0.7474671420671652,-33.109751455641366,2.877709014370465
56,0.030712343198224315,0.45116,540.4993,0.27609889410225,near_neutral,false,2.0672323689058327,38.417606870937455,0.4279581553409532,-24.926708227676993,2.0672323689058327
58,0.04064426547365138,0.36831,408.4217,0.3054671936115689,near_neutral,false,2.350025340971826,41.505952664755256,0.27739354084982104,-20.620525156915757,2.350025340971826
85,0.011616905256439686,0.47359,1428.952,0.11588129491057056,near_neutral,false,2.745801337772241,75.20749382317541,0.733600838283607,-65.82248822555205,2.745801337772241
86,0.022205970543378764,0.46685,747.5467,0.11634139899920912,near_neutral,false,2.8613779110587503,42.895818879747694,0.7894743417228709,-61.22347782043649,2.8613779110587503
87,0.024547007889792808,0.50948,676.2535,0.08632442980235738,near_neutral,false,3.167346771871974,35.2798219127405,0.5418744786326173,-21.30725113181264,3.167346771871974
88,0.016187162604924022,0.58435,1025.504,0.09168765489031593,near_neutral,false,2.6933591930254885,41.08929475417509,-0.7980467356226895,-30.13119129421016,2.6933591930254885
89,0.027996583067632835,0.59796,592.9295,0.06892988187132486,near_neutral,false,3.147995592421641,24.39892745537215,1.510406522782053,-17.261051759727998,3.147995592421641
90,0.02188000950066919,0.61659,758.6834,0.06818936952186827,near_neutral,false,3.055325707159989,29.092711288165763,1.1141112620181046,-23.580434147601483,3.055325707159989
91,0.012062445682661762,0.78056,1376.172,0.05689058935688276,near_neutral,false,2.5830457193126297,31.46800774880965,1.0407533973875198,-23.58548553397643,2.5830457193126297
92,0.008683561599407426,0.81424,1911.658,0.057560150817513436,near_neutral,false,2.404716190694526,38.331135846311014,0.7105366549821596,-24.892817707718102,2.404716190694526
93,0.008670929351252559,0.82538,1914.443,0.06662084587641885,near_neutral,false,2.199129828415733,37.1574783440865,0.6289389787550749,-27.343329065462218,2.199129828415733
94,0.013841165125933759,0.63831,1199.321,0.07445260164105326,near_neutral,false,2.730742028864414,40.111469934873064,1.4952317280818617,-41.53706650821705,2.730742028864414
95,0.01194277253622761,0.80184,1389.962,0.07152484362475349,near_neutral,false,2.2001171610850596,28.989676790698972,0.5166194154607882,-24.804273724055847,2.2001171610850596
96,0.010133969860596868,0.86463,1638.055,0.06828566497725547,near_neutral,false,2.0990813668531305,29.68988269332327,-1.454225264983574,-48.66492717105071,2.0990813668531305
97,0.0038366892422700537,0.9549,4326.647,0.12085708578587434,near_neutral,false,1.410317194354266,62.65404218426481,-2.8793441048473545,-43.023559335975456,1.410317194354266
98,0.0020371315077607963,0.8967,8148.713,0.08280185666053691,near_neutral,false,1.7920905666456013,130.539190925527,1.3717901976644353,-40.97009898802559,1.7920905666456013
129,0.03562160669325699,0.63249,466.0093,0.04022047918990694,near_neutral,false,4.682958096834205,24.761347768015227,0.17555973974427777,-57.464679662157835,4.682958096834205
164,0.13236847875924487,0.81116,125.4075,0.06821964553997982,weakly_stable,false,2.107544271304195,2.289171304397658,0.10109978350542301,-74.77072054025957,2.107544271304195
