datetime,tracer,c1,c2,c3,c4,zeta,ustar,n_obs,shape_ratio,stability
2024-03-01T00:00:00.0,T,-0.4578389699577295,-0.3251580749331436,0.09816896995772952,0.13515807493314358,NaN,NaN,1,0.30191152404231153,unknown
2024-03-01T00:30:00.0,T,-0.5971752994414251,-0.341146907279805,0.10350529944142513,0.14214690727980503,NaN,NaN,1,0.30340389208491697,unknown
2024-03-01T01:00:00.0,T,-0.5823769913949275,-0.3378071492300725,0.10504199139492755,0.14247214923007245,NaN,NaN,1,0.3109525409226491,unknown
2024-03-01T01:30:00.0,T,-0.5317728408816425,-0.33840040564613527,0.10277284088164253,0.14107040564613527,NaN,NaN,1,0.3037018844153275,unknown
2024-03-01T02:00:00.0,T,-0.5442445355525363,-0.3407165749385352,0.10374453555253624,0.14221657493853518,NaN,NaN,1,0.304489253483637,unknown
2024-03-01T02:30:00.0,T,-0.5224337801177537,-0.3374920029923655,0.10260878011775368,0.14076700299236547,NaN,NaN,1,0.3040332191814181,unknown
2024-03-01T03:00:00.0,T,-0.48686206302838164,-0.34763616303808664,0.10119706302838166,0.14197116303808663,NaN,NaN,1,0.2911005061843771,unknown
2024-03-01T03:30:00.0,T,-0.49137461586654596,-0.3580243418467478,0.1022096158665459,0.14485934184674776,NaN,NaN,1,0.2854823092176696,unknown
2024-03-01T04:00:00.0,T,-0.5410830872584541,-0.3635907247455141,0.10525308725845411,0.14809072474551413,NaN,NaN,1,0.289482322004015,unknown
2024-03-01T04:30:00.0,T,-0.5542129881491547,-0.3693949948617581,0.11204298814915464,0.15389499486175812,NaN,NaN,1,0.30331485187308904,unknown
2024-03-01T05:00:00.0,T,-0.5711383362016909,-0.36598027366934094,0.10780333620169084,0.15031527366934094,NaN,NaN,1,0.29456051038174247,unknown
2024-03-01T05:30:00.0,T,-0.5639694886020532,-0.36500625110528817,0.10963448860205313,0.15134125110528812,NaN,NaN,1,0.3003633178063803,unknown
2024-03-01T06:00:00.0,T,-0.5501563414100242,-0.37187970707707907,0.11099134141002419,0.15371470707707904,NaN,NaN,1,0.298460333537423,unknown
2024-03-01T06:30:00.0,T,-0.5240788347675122,-0.36293327522752766,0.10752883476751213,0.14948327522752766,NaN,NaN,1,0.2962771454342424,unknown
2024-03-01T07:00:00.0,T,-0.464573996678744,-0.36204997901570046,0.10740899667874401,0.1492149790157005,NaN,NaN,1,0.29666897639589745,unknown
2024-03-01T07:30:00.0,T,-0.3962284487469807,-0.3715718742936939,0.10889344874698072,0.15223687429369395,NaN,NaN,1,0.2930616020224133,unknown
2024-03-01T08:00:00.0,T,-0.37709122078804347,-0.38807917913755174,0.11459122078804354,0.1595791791375518,NaN,NaN,1,0.29527794055508333,unknown
2024-03-01T08:30:00.0,T,-0.3101702515096618,-0.3927463233911318,0.11683525150966184,0.16208132339113182,NaN,NaN,1,0.29748273771440725,unknown
2024-03-01T09:00:00.0,T,-0.20503658695652177,-0.40349707375776395,0.11603658695652175,0.16382707375776395,NaN,NaN,1,0.28757727007998907,unknown
2024-03-01T09:30:00.0,T,-0.07747205865036233,-0.41123462847761383,0.12014205865036233,0.16823462847761386,NaN,NaN,1,0.29214966428077066,unknown
2024-03-01T10:00:00.0,T,0.05124275226449271,-0.41675057592520703,0.12709224773550729,0.17408557592520704,NaN,NaN,1,0.30495998104707156,unknown
2024-03-01T10:30:00.0,T,0.25375194051932365,-0.43934485470583157,0.13941305948067634,0.1871798547058316,NaN,NaN,1,0.3173203418394918,unknown
2024-03-01T11:00:00.0,T,0.4766723147644927,-0.4457180327704452,0.14265768523550734,0.1907180327704452,NaN,NaN,1,0.3200626287179618,unknown
2024-03-01T11:30:00.0,T,0.4924151036382851,-0.45410358268094375,0.140584896361715,0.19110358268094377,NaN,NaN,1,0.3095877278301301,unknown
2024-03-01T12:00:00.0,T,0.47850035612922703,-0.4524851539962905,0.14116464387077302,0.19115015399629057,NaN,NaN,1,0.3119762993857922,unknown
2024-03-01T12:30:00.0,T,0.49336745191727055,-0.4450449748587388,0.14013254808272949,0.18887497485873878,NaN,NaN,1,0.31487277915498046,unknown
2024-03-01T13:00:00.0,T,0.5489325125301932,-0.4327233322226536,0.13339748746980679,0.18172333222265355,NaN,NaN,1,0.30827431186716875,unknown
2024-03-01T13:30:00.0,T,0.6073283660175121,-0.43914897551652,0.14017163398248794,0.18764897551652002,NaN,NaN,1,0.3191892542106476,unknown
2024-03-01T14:00:00.0,T,0.6007328433725845,-0.4260083859073067,0.13388215662741546,0.18062338590730673,NaN,NaN,1,0.31427117647525904,unknown
2024-03-04T08:30:00.0,T,-0.23064413458635263,-0.34207488761106797,0.11258913458635268,0.148459887611068,NaN,NaN,1,0.32913592509709216,unknown
2024-03-04T09:00:00.0,T,-0.2109441783665459,-0.34741234631103346,0.10810917836654592,0.14657734631103347,NaN,NaN,1,0.3111840425779148,unknown
2024-03-04T09:30:00.0,T,-0.17777307465277786,-0.36412326773313497,0.11627307465277781,0.15562326773313492,NaN,NaN,1,0.3193233856672792,unknown
2024-03-04T10:00:00.0,T,-0.19040519776570053,-0.3768128553096963,0.1192351977657005,0.16031285530969633,NaN,NaN,1,0.31643081196819317,unknown
2024-03-04T10:30:00.0,T,-0.18517970372886483,-0.3929584578534766,0.12351470372886479,0.16662345785347657,NaN,NaN,1,0.3143200031971828,unknown
2024-03-04T11:00:00.0,T,-0.17957456914251213,-0.41431199583764666,0.12423956914251211,0.17164699583764664,NaN,NaN,1,0.2998695919757943,unknown
2024-03-04T11:30:00.0,T,-0.18922168070652184,-0.43926161914466877,0.1313916807065218,0.18176161914466876,NaN,NaN,1,0.2991194199082724,unknown
2024-03-04T12:00:00.0,T,-0.21496304347826095,-0.4507497541407868,0.13146304347826093,0.1842497541407868,NaN,NaN,1,0.29165416568857383,unknown
2024-03-04T12:30:00.0,T,-0.3087413340126812,-0.46452672216291413,0.13124133401268115,0.18702672216291408,NaN,NaN,1,0.2825269844576423,unknown
2024-03-04T13:00:00.0,T,-0.40646362439613526,-0.47849254623878534,0.13446362439613532,0.1921625462387854,NaN,NaN,1,0.2810150867617341,unknown
2024-03-04T13:30:00.0,T,-0.43914024154589376,-0.4563058348429952,0.12482524154589375,0.1809608348429952,NaN,NaN,1,0.2735560933356098,unknown
2024-03-04T14:00:00.0,T,-0.47824331536835746,-0.45118668587172184,0.12600331536835752,0.18066668587172188,NaN,NaN,1,0.279270907839204,unknown
