subset,n,corr_c1_c3,slope_c3_on_c1,intercept_c3_on_c1,mean_c1,mean_c3,skew_c1,skew_c3
all,1488,0.71917678153546,0.01412795457391531,0.04843493732507571,-0.08646291271121055,0.04721339322196332,-0.14023520398207415,-0.41794183224698245
near_neutral,340,0.6677429467171568,0.010587399665649434,0.04972821285425624,-0.43318411072170715,0.045141919545236595,0.11897836276868005,-0.09779875580720616
non_neutral,1148,0.7381645175975955,0.015360409023009159,0.04757768015286522,0.01622455011419785,0.047826895878833604,-0.21775075262175803,-0.4750715766996885
