VAR_EDDY.Qc_LE,VAR_EDDY.Qc_H,VAR_EDDY.H_storage_flux,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.LE_storage_flux,VAR_EDDY.H,datetime,season_year,season_date,target_doy,group_name
,,,,,,,2012-01-15T00:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T00:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T01:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T01:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T02:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T02:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T03:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T03:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T04:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T04:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T05:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T05:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T06:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T06:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T07:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T07:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T08:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T08:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T09:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T09:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T10:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T10:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T11:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T11:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T12:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T12:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T13:00:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T13:30:00.0,2012,2012-01-15,15,heat_flux
,,,,,,,2012-01-15T14:00:00.0,2012,2012-01-15,15,heat_flux
