tracer,family,branch,x_driver,phi_fit
momentum,BD_CLASSIC,weakly_stable,0.0,1.0
momentum,BD_CLASSIC,weakly_stable,0.0021008403361344537,1.0084017978552056
momentum,BD_CLASSIC,weakly_stable,0.004201680672268907,1.0168004687317471
momentum,BD_CLASSIC,weakly_stable,0.0063025210084033615,1.0251960126296242
momentum,BD_CLASSIC,weakly_stable,0.008403361344537815,1.0335884295488371
momentum,BD_CLASSIC,weakly_stable,0.01050420168067227,1.0419777194893858
momentum,BD_CLASSIC,weakly_stable,0.012605042016806723,1.05036388245127
momentum,BD_CLASSIC,weakly_stable,0.014705882352941176,1.05874691843449
momentum,BD_CLASSIC,weakly_stable,0.01680672268907563,1.0671268274390457
momentum,BD_CLASSIC,weakly_stable,0.018907563025210083,1.0755036094649373
momentum,BD_CLASSIC,weakly_stable,0.02100840336134454,1.0838772645121644
momentum,BD_CLASSIC,weakly_stable,0.023109243697478993,1.0922477925807275
momentum,BD_CLASSIC,weakly_stable,0.025210084033613446,1.100615193670626
momentum,BD_CLASSIC,weakly_stable,0.0273109243697479,1.1089794677818605
momentum,BD_CLASSIC,weakly_stable,0.029411764705882353,1.1173406149144305
momentum,BD_CLASSIC,weakly_stable,0.031512605042016806,1.1256986350683365
momentum,BD_CLASSIC,weakly_stable,0.03361344537815126,1.134053528243578
momentum,BD_CLASSIC,weakly_stable,0.03571428571428571,1.142405294440155
momentum,BD_CLASSIC,weakly_stable,0.037815126050420166,1.150753933658068
momentum,BD_CLASSIC,weakly_stable,0.03991596638655462,1.1590994458973167
momentum,BD_CLASSIC,weakly_stable,0.04201680672268908,1.1674418311579016
momentum,BD_CLASSIC,weakly_stable,0.04411764705882353,1.1757810894398217
momentum,BD_CLASSIC,weakly_stable,0.046218487394957986,1.1841172207430775
momentum,BD_CLASSIC,weakly_stable,0.04831932773109244,1.1924502250676692
momentum,BD_CLASSIC,weakly_stable,0.05042016806722689,1.2007801024135965
momentum,BD_CLASSIC,weakly_stable,0.052521008403361345,1.2091068527808595
momentum,BD_CLASSIC,weakly_stable,0.0546218487394958,1.2174304761694585
momentum,BD_CLASSIC,weakly_stable,0.05672268907563025,1.2257509725793931
momentum,BD_CLASSIC,weakly_stable,0.058823529411764705,1.2340683420106633
momentum,BD_CLASSIC,weakly_stable,0.06092436974789916,1.2423825844632692
momentum,BD_CLASSIC,weakly_stable,0.06302521008403361,1.250693699937211
momentum,BD_CLASSIC,weakly_stable,0.06512605042016807,1.2590016884324884
momentum,BD_CLASSIC,weakly_stable,0.06722689075630252,1.2673065499491014
momentum,BD_CLASSIC,weakly_stable,0.06932773109243698,1.2756082844870504
momentum,BD_CLASSIC,weakly_stable,0.07142857142857142,1.283906892046335
momentum,BD_CLASSIC,weakly_stable,0.07352941176470588,1.2922023726269556
momentum,BD_CLASSIC,weakly_stable,0.07563025210084033,1.3004947262289115
momentum,BD_CLASSIC,weakly_stable,0.07773109243697479,1.3087839528522034
momentum,BD_CLASSIC,weakly_stable,0.07983193277310924,1.3170700524968308
momentum,BD_CLASSIC,weakly_stable,0.0819327731092437,1.325353025162794
momentum,BD_CLASSIC,weakly_stable,0.08403361344537816,1.3336328708500933
momentum,BD_CLASSIC,weakly_stable,0.0861344537815126,1.3419095895587279
momentum,BD_CLASSIC,weakly_stable,0.08823529411764706,1.3501831812886982
momentum,BD_CLASSIC,weakly_stable,0.09033613445378151,1.3584536460400043
momentum,BD_CLASSIC,weakly_stable,0.09243697478991597,1.3667209838126462
momentum,BD_CLASSIC,weakly_stable,0.09453781512605042,1.3749851946066238
momentum,BD_CLASSIC,weakly_stable,0.09663865546218488,1.383246278421937
momentum,BD_CLASSIC,weakly_stable,0.09873949579831932,1.3915042352585862
momentum,BD_CLASSIC,weakly_stable,0.10084033613445378,1.399759065116571
momentum,BD_CLASSIC,weakly_stable,0.10294117647058823,1.4080107679958913
momentum,BD_CLASSIC,weakly_stable,0.10504201680672269,1.4162593438965478
momentum,BD_CLASSIC,weakly_stable,0.10714285714285714,1.4245047928185397
momentum,BD_CLASSIC,weakly_stable,0.1092436974789916,1.4327471147618673
momentum,BD_CLASSIC,weakly_stable,0.11134453781512606,1.4409863097265307
momentum,BD_CLASSIC,weakly_stable,0.1134453781512605,1.44922237771253
momentum,BD_CLASSIC,weakly_stable,0.11554621848739496,1.457455318719865
momentum,BD_CLASSIC,weakly_stable,0.11764705882352941,1.4656851327485354
momentum,BD_CLASSIC,weakly_stable,0.11974789915966387,1.4739118197985417
momentum,BD_CLASSIC,weakly_stable,0.12184873949579832,1.4821353798698838
momentum,BD_CLASSIC,weakly_stable,0.12394957983193278,1.4903558129625616
momentum,BD_CLASSIC,weakly_stable,0.12605042016806722,1.498573119076575
momentum,BD_CLASSIC,weakly_stable,0.12815126050420167,1.5067872982119241
momentum,BD_CLASSIC,weakly_stable,0.13025210084033614,1.514998350368609
momentum,BD_CLASSIC,weakly_stable,0.1323529411764706,1.5232062755466296
momentum,BD_CLASSIC,weakly_stable,0.13445378151260504,1.531411073745986
momentum,BD_CLASSIC,weakly_stable,0.13655462184873948,1.539612744966678
momentum,BD_CLASSIC,weakly_stable,0.13865546218487396,1.5478112892087061
momentum,BD_CLASSIC,weakly_stable,0.1407563025210084,1.5560067064720697
momentum,BD_CLASSIC,weakly_stable,0.14285714285714285,1.5641989967567689
momentum,BD_CLASSIC,weakly_stable,0.14495798319327732,1.5723881600628042
momentum,BD_CLASSIC,weakly_stable,0.14705882352941177,1.580574196390175
momentum,BD_CLASSIC,weakly_stable,0.14915966386554622,1.5887571057388814
momentum,BD_CLASSIC,weakly_stable,0.15126050420168066,1.5969368881089234
momentum,BD_CLASSIC,weakly_stable,0.15336134453781514,1.6051135435003014
momentum,BD_CLASSIC,weakly_stable,0.15546218487394958,1.613287071913015
momentum,BD_CLASSIC,weakly_stable,0.15756302521008403,1.6214574733470644
momentum,BD_CLASSIC,weakly_stable,0.15966386554621848,1.6296247478024495
momentum,BD_CLASSIC,weakly_stable,0.16176470588235295,1.6377888952791702
momentum,BD_CLASSIC,weakly_stable,0.1638655462184874,1.6459499157772266
momentum,BD_CLASSIC,weakly_stable,0.16596638655462184,1.654107809296619
momentum,BD_CLASSIC,weakly_stable,0.16806722689075632,1.662262575837347
momentum,BD_CLASSIC,weakly_stable,0.17016806722689076,1.6704142153994108
momentum,BD_CLASSIC,weakly_stable,0.1722689075630252,1.6785627279828101
