VAR_META.WS1,VAR_META.WS2,VAR_META.WS3,VAR_META.WS4,VAR_META.WS0,VAR_META.WDIR,datetime,season_year,season_date,target_doy,group_name
,,,,,87.73,2024-01-15T01:14:00.0,2024,2024-01-15,15,wind_profile
,,,,,93.63,2024-01-15T01:15:00.0,2024,2024-01-15,15,wind_profile
,,,,,112.5,2024-01-15T01:16:00.0,2024,2024-01-15,15,wind_profile
,,,,,83.67,2024-01-15T01:17:00.0,2024,2024-01-15,15,wind_profile
,,,,,95.65,2024-01-15T01:18:00.0,2024,2024-01-15,15,wind_profile
,,,,,99.62,2024-01-15T01:19:00.0,2024,2024-01-15,15,wind_profile
,,,,,79.8,2024-01-15T01:20:00.0,2024,2024-01-15,15,wind_profile
,,,,,89.3,2024-01-15T01:21:00.0,2024,2024-01-15,15,wind_profile
,,,,,78.79,2024-01-15T01:22:00.0,2024,2024-01-15,15,wind_profile
,,,,,75.66,2024-01-15T01:23:00.0,2024,2024-01-15,15,wind_profile
,,,,,85.7,2024-01-15T01:24:00.0,2024,2024-01-15,15,wind_profile
,,,,,59.9,2024-01-15T01:25:00.0,2024,2024-01-15,15,wind_profile
,,,,,79.71,2024-01-15T01:26:00.0,2024,2024-01-15,15,wind_profile
,,,,,85.7,2024-01-15T01:27:00.0,2024,2024-01-15,15,wind_profile
,,,,,73.72,2024-01-15T01:28:00.0,2024,2024-01-15,15,wind_profile
,,,,,63.95,2024-01-15T01:29:00.0,2024,2024-01-15,15,wind_profile
,,,,,69.85,2024-01-15T01:30:00.0,2024,2024-01-15,15,wind_profile
,,,,,79.71,2024-01-15T01:31:00.0,2024,2024-01-15,15,wind_profile
,,,,,92.71,2024-01-15T01:32:00.0,2024,2024-01-15,15,wind_profile
,,,,,45.02,2024-01-15T01:33:00.0,2024,2024-01-15,15,wind_profile
,,,,,70.77,2024-01-15T01:34:00.0,2024,2024-01-15,15,wind_profile
,,,,,68.84,2024-01-15T01:35:00.0,2024,2024-01-15,15,wind_profile
,,,,,62.85,2024-01-15T01:36:00.0,2024,2024-01-15,15,wind_profile
,,,,,54.0,2024-01-15T01:37:00.0,2024,2024-01-15,15,wind_profile
,,,,,38.25,2024-01-15T01:38:00.0,2024,2024-01-15,15,wind_profile
,,,,,72.8,2024-01-15T01:39:00.0,2024,2024-01-15,15,wind_profile
,,,,,52.99,2024-01-15T01:40:00.0,2024,2024-01-15,15,wind_profile
,,,,,74.74,2024-01-15T01:41:00.0,2024,2024-01-15,15,wind_profile
,,,,,54.0,2024-01-15T01:42:00.0,2024,2024-01-15,15,wind_profile
,,,,,71.79,2024-01-15T01:43:00.0,2024,2024-01-15,15,wind_profile
,,,,,64.88,2024-01-15T01:44:00.0,2024,2024-01-15,15,wind_profile
,,,,,91.69,2024-01-15T01:45:00.0,2024,2024-01-15,15,wind_profile
,,,,,98.05,2024-01-15T01:46:00.0,2024,2024-01-15,15,wind_profile
,,,,,76.12,2024-01-15T01:47:00.0,2024,2024-01-15,15,wind_profile
,,,,,93.63,2024-01-15T01:48:00.0,2024,2024-01-15,15,wind_profile
,,,,,73.72,2024-01-15T01:49:00.0,2024,2024-01-15,15,wind_profile
,,,,,84.78,2024-01-15T01:50:00.0,2024,2024-01-15,15,wind_profile
,,,,,86.62,2024-01-15T01:51:00.0,2024,2024-01-15,15,wind_profile
