mode,coeff,coeff_trunc,abs_coeff
0,10.749866155792475,10.749866155792475,10.749866155792475
1,-5.933561225135495,-5.933561225135495,5.933561225135495
2,3.1391619857650825,3.1391619857650825,3.1391619857650825
3,-2.0891987245703314,-2.0891987245703314,2.0891987245703314
4,1.4844753785621103,1.4844753785621103,1.4844753785621103
5,-1.1323661110266277,-1.1323661110266277,1.1323661110266277
6,0.7082848861444846,0.7082848861444846,0.7082848861444846
7,-0.5830259098139099,-0.5830259098139099,0.5830259098139099
8,0.4879259474258278,0.0,0.4879259474258278
9,-0.2601317365041971,0.0,0.2601317365041971
10,0.23331117314782385,0.0,0.23331117314782385
11,-0.2184324418083216,0.0,0.2184324418083216
12,0.2512714988152788,0.0,0.2512714988152788
13,-0.12854900276875117,0.0,0.12854900276875117
14,0.11503869215668065,0.0,0.11503869215668065
15,-0.03434998951966744,0.0,0.03434998951966744
16,-0.04594299747850398,0.0,0.04594299747850398
17,0.13161293102177596,0.0,0.13161293102177596
18,-0.1842338141983423,0.0,0.1842338141983423
19,0.11928648289251524,0.0,0.11928648289251524
20,-0.05414863321402273,0.0,0.05414863321402273
21,0.010438744411954859,0.0,0.010438744411954859
22,0.0524875004035632,0.0,0.0524875004035632
23,-0.09575613293641229,0.0,0.09575613293641229
24,0.03317528256057318,0.0,0.03317528256057318
25,0.05776095385296166,0.0,0.05776095385296166
26,-0.08621612091552822,0.0,0.08621612091552822
27,0.19252238440626343,0.0,0.19252238440626343
28,-0.2571845210597996,0.0,0.2571845210597996
29,0.230880703327424,0.0,0.230880703327424
30,-0.18391724442004512,0.0,0.18391724442004512
31,0.19421175472584132,0.0,0.19421175472584132
32,-0.16636246508235908,0.0,0.16636246508235908
33,0.26388498950217304,0.0,0.26388498950217304
34,-0.28679907635046126,0.0,0.28679907635046126
35,0.21592588217163908,0.0,0.21592588217163908
36,-0.08132653107383042,0.0,0.08132653107383042
37,0.009864608092631228,0.0,0.009864608092631228
38,0.048817551800908916,0.0,0.048817551800908916
39,-0.07225062121335438,0.0,0.07225062121335438
40,0.08785659353924188,0.0,0.08785659353924188
41,0.10233011193548433,0.0,0.10233011193548433
42,-0.13197454681358511,0.0,0.13197454681358511
43,0.1078678315652131,0.0,0.1078678315652131
44,-0.09011195334069862,0.0,0.09011195334069862
45,0.03397617975046312,0.0,0.03397617975046312
46,0.030668659983711207,0.0,0.030668659983711207
47,0.031177482429229773,0.0,0.031177482429229773
