regime,zeta_min,zeta_max,n,zeta_median,phi_median,phi_mean
weak_stable,0.0,0.5,1855,0.06844344456942883,0.9453262786596118,1.1035790137747794
moderate_stable,0.5,2.0,338,0.9302887644481397,2.9223057644110275,3.00404959410988
very_stable,2.0,10.0,73,2.5820701458688275,5.12,4.8800117081612955
