zeta_mid,phi_med,phi_mean,n
0.0024473126715149917,0.7536975873899996,0.813424378484538,48
0.005400485340405749,0.6972909305064785,0.744460070574852,47
0.008157080460840224,0.7407407407407407,0.7303721402304445,47
0.010869640786221456,0.6974358974358971,0.7279824757502822,47
0.013858334125380985,0.713978494623656,0.7516648481080812,47
0.01673385292679426,0.7266513409961686,0.7184805223011895,48
0.019098542178012705,0.7719298245614032,0.7547635724783884,47
0.02149560731511428,0.7992087042532143,0.8051805382850675,47
0.024061909553412048,0.8091954022988508,0.8337595005446139,47
0.026558333123235932,0.8253968253968258,0.8288750089186127,47
0.029029303502601776,0.8093023255813951,0.8372019634176278,48
0.03245716395428824,0.8261437908496732,0.813060067552651,47
0.03581538838544353,0.8533333333333342,0.8455791014007047,47
0.0388859269567718,0.8106666666666664,0.8188126233365521,47
0.04270258248167568,0.8960000000000008,0.923855306613474,47
0.04683224446924203,0.8399999999999999,0.9090548981173054,47
0.05182003313032619,0.869085942834845,0.847954468449835,48
0.05692291643296721,0.8344086021505368,0.8604324494693931,47
0.06210192277505029,0.9580246913580244,1.0435710185026106,47
0.0675716646613182,0.9287356321839079,0.9400693009660168,47
0.07317153476972256,0.949999999999999,0.955492564799694,47
0.0806381789450245,1.0582290036515387,1.0747084981348105,48
0.08905712852202083,1.0888888888888895,1.0609468629917247,47
0.09853290599072145,1.1707317073170733,1.1426766456482746,47
0.10867772719184396,1.1619047619047624,1.1262576793960508,47
0.11759561365565582,1.146666666666666,1.202271754401469,47
0.12771748813010586,1.2444444444444442,1.203123793768481,48
0.14192253403947264,1.1999999999999993,1.1606453869476252,47
0.1569658365791755,1.2923076923076928,1.2674913511886023,47
0.17195309504005213,1.3575757575757568,1.3601034869065791,47
0.19078022607808773,1.3977011494252878,1.4332933434859438,47
0.2107746771653676,1.4242424242424236,1.424058163198009,47
0.23197504113719375,1.5685185185185193,1.4740963491920411,48
0.2572628949351323,1.6213333333333337,1.5294829006048059,47
0.2865007933210554,1.6,1.577152118245198,47
0.3192070849011064,1.9862068965517246,1.7978026626378345,47
0.3590686265786265,1.6695652173913036,1.6642330188898204,47
0.40999303359511563,1.8353823088455774,1.7698242926467873,48
0.46238796721633446,2.1333333333333333,1.9630938472560981,47
0.5221079147710305,2.37037037037037,2.204735627179809,47
0.6089026032739241,2.766666666666667,2.413205067471065,47
0.7176530749401347,2.448484848484848,2.3512561123178486,47
0.8623254045788173,2.8722222222222227,2.768417539075864,48
1.061217512686871,3.4666666666666663,3.271067454785043,47
1.3019746347923866,3.6000000000000005,3.304826744828146,47
1.6040599490164085,4.129032258064517,3.9596542641647248,47
2.1141196978744174,5.120000000000001,4.722692901849324,47
4.301628555041284,4.635555555555556,4.664098250677198,48
