zeta_mid,phi_med,phi_recon,n
0.0024473126715149917,0.7536975873899996,0.6543474966530778,48
0.005400485340405749,0.6972909305064785,0.6709499400937013,47
0.008157080460840224,0.7407407407407407,0.7008751075117385,47
0.010869640786221456,0.6974358974358971,0.7382787466271848,47
0.013858334125380985,0.713978494623656,0.7760255345065049,47
0.01673385292679426,0.7266513409961686,0.8072413231425559,48
0.019098542178012705,0.7719298245614032,0.8268033009372522,47
0.02149560731511428,0.7992087042532143,0.8324406028157757,47
0.024061909553412048,0.8091954022988508,0.8252033581063941,47
0.026558333123235932,0.8253968253968258,0.8091972007962618,47
0.029029303502601776,0.8093023255813951,0.7906425928828,48
0.03245716395428824,0.8261437908496732,0.776468354319734,47
0.03581538838544353,0.8533333333333342,0.7727534063698475,47
0.0388859269567718,0.8106666666666664,0.7833664466939263,47
0.04270258248167568,0.8960000000000008,0.8091114983935155,47
0.04683224446924203,0.8399999999999999,0.8475763494759182,47
0.05182003313032619,0.869085942834845,0.8937244763734328,48
0.05692291643296721,0.8344086021505368,0.9411031422675319,47
0.06210192277505029,0.9580246913580244,0.983398093602534,47
0.0675716646613182,0.9287356321839079,1.0159808114187046,47
0.07317153476972256,0.949999999999999,1.0370877107272047,47
0.0806381789450245,1.0582290036515387,1.0483454301651653,48
0.08905712852202083,1.0888888888888895,1.0544980169340386,47
0.09853290599072145,1.1707317073170733,1.0623708880093314,47
0.10867772719184396,1.1619047619047624,1.0792843556291545,47
0.11759561365565582,1.146666666666666,1.1112666946296506,47
0.12771748813010586,1.2444444444444442,1.1614812109925274,48
0.14192253403947264,1.1999999999999993,1.2292562419024167,47
0.1569658365791755,1.2923076923076928,1.3099930501916486,47
0.17195309504005213,1.3575757575757568,1.396044909825172,47
0.19078022607808773,1.3977011494252878,1.4784474583866793,47
0.2107746771653676,1.4242424242424236,1.5491800407219416,47
0.23197504113719375,1.5685185185185193,1.6034939063229068,48
0.2572628949351323,1.6213333333333337,1.6417893811108624,47
0.2865007933210554,1.6,1.670576759691677,47
0.3192070849011064,1.9862068965517246,1.7022095107219182,47
0.3590686265786265,1.6695652173913036,1.7533071952478758,47
0.40999303359511563,1.8353823088455774,1.8420465127817318,48
0.46238796721633446,2.1333333333333333,1.9847409923036123,47
0.5221079147710305,2.37037037037037,2.192303605133779,47
0.6089026032739241,2.766666666666667,2.4672542465084617,47
0.7176530749401347,2.448484848484848,2.8018774566536524,47
0.8623254045788173,2.8722222222222227,3.177960552783088,48
1.061217512686871,3.4666666666666663,3.568277475061996,47
1.3019746347923866,3.6000000000000005,3.939676319302662,47
1.6040599490164085,4.129032258064517,4.257335416324781,47
2.1141196978744174,5.120000000000001,4.4895292738909385,47
4.301628555041284,4.635555555555556,4.6121350306475275,48
