zeta_mid,phi_med,phi_recon,n
0.003676618722560461,0.8830650672029016,0.8109943139343279,38
0.006977316647922709,0.8995024987703623,0.8315965474214665,38
0.00955310745591394,0.8896896118972977,0.8686159590319821,38
0.011966360573728917,0.890384103533773,0.9146245869290646,38
0.01500582483838529,0.9193288679733783,0.9606236950553388,38
0.01812590123199307,0.9426519141709123,0.9980688235665589,38
0.020535087676318776,0.9476871775692302,1.0207899380975682,38
0.022874098007174853,0.942330928903727,1.0263706092289262,38
0.025034808114851634,0.9508887566083951,1.0166701361882138,38
0.027455214326489275,0.9861919658949221,0.997364654066523,38
0.03043857811264924,1.0461063492532767,0.9766052160576911,38
0.03369728849309708,1.0475886362426925,0.9630932592304625,38
0.036519827542736916,1.0538038275271755,0.9640111375981985,38
0.039399928332550335,1.0400341212058233,0.9832857824899127,38
0.04317779706818479,1.086475435092074,1.0205963059075025,38
0.04749531633759467,1.0647672097749585,1.0713744983297395,38
0.051976296115175485,1.1135201493014582,1.1278249572142045,38
0.05609762294345276,1.1212224405572422,1.180757418078359,38
0.06062914468314123,1.1206693068718483,1.2218299367992038,38
0.0656471531862945,1.1649972783923586,1.2456924980855761,38
0.07120047157560228,1.171157970468954,1.251523468237431,38
0.0774516781684168,1.2113712046660225,1.2435692225312291,38
0.08424259003638025,1.2525565484079357,1.2305081519681662,38
0.09194858142722126,1.2819794664829363,1.2237208067027587,37
0.10135453007782766,1.2881535835005147,1.2348024577867192,38
0.11160070178400333,1.3999044661800342,1.272846390500226,38
0.12178112824276581,1.481445527158602,1.3421107165146344,38
0.13276189561210122,1.4929524290041054,1.440634820535286,38
0.14612469137785103,1.6076079750889027,1.5601974376075927,38
0.15902840158991888,1.5438185512936626,1.6877379738587424,38
0.17215343400376137,1.7358005505398904,1.8080491078718421,38
0.19073792644185233,1.7772032733146093,1.9072565232508203,38
0.20987532867711883,1.8575454474378295,1.9763937970142371,38
0.22932446164715087,1.857760164238376,2.014305164089516,38
0.25155548611792944,1.9404589679324449,2.029188895945896,38
0.28042765676385395,2.0973376907509573,2.0383211640937815,38
0.3168219862476729,2.2579426830442504,2.0658358365617926,38
0.36158975857226494,2.449216604114169,2.1388173296259474,38
0.4167286917668781,2.4395948131576706,2.282317181439393,38
0.4695965850040791,2.727336655861408,2.514158862169559,38
0.5263152847266221,2.9206486421957116,2.840494982029936,38
0.6185873034973794,3.215326819468001,3.2530004225101443,38
0.7473466332246088,3.3015806879990146,3.728332315100383,38
0.9225333326908429,3.664537018956125,4.230105233410407,38
1.1467719321650836,4.485797159782948,4.713185766479271,38
1.4630425003772212,4.598435521087509,5.129686732302023,38
1.9416032267735557,5.7298949580652465,5.435717621873497,38
4.997468458186009,6.493124588355164,5.597786959974762,38
