regime,zeta_min,zeta_max,n,zeta_median,phi_median,phi_mean
weak_stable,0.0,0.5,1525,0.0682740612662856,1.2074238914646598,1.4064400287109697
moderate_stable,0.5,2.0,247,0.8995312799927383,3.7873348465244265,4.086278412418641
very_stable,2.0,10.0,51,2.578634171004165,6.1524976953353905,6.834327243320751
