datetime,c1,c2,c3,shape_ratio,VAR_EDDY.H,VAR_EDDY.tau,VAR_EDDY.F_c,VAR_EDDY.CO2_storage_flux,VAR_EDDY.U,VAR_EDDY.Qc_H,VAR_EDDY.Qc_tau,VAR_EDDY.Qc_F_c
2022-02-01T00:00:00.0,-8.382103061025227,0.38459605189344215,-0.12593132763290127,0.32743791053734567,-7.31987,-0.02934,-0.01484,0.04701,2.29501,0.0,0.0,1.0
2022-02-01T00:30:00.0,-8.398333938276265,0.6789085841351427,-0.3227515073932232,0.47539759392551256,-5.10808,-0.014,-0.03451,-0.06786,2.23292,0.0,0.0,1.0
2022-02-01T01:00:00.0,-8.434898853001174,0.7579102031414968,-0.28893571075097163,0.38122683868530693,-0.49123,-0.00879,NaN,0.02293,1.99022,1.0,0.0,2.0
2022-02-01T01:30:00.0,-9.705846826686903,0.8130700676324052,-0.07017329276830939,0.08630657499500428,NaN,-0.01234,NaN,-0.01079,1.56752,NaN,1.0,NaN
2022-02-01T02:00:00.0,-12.28622198429794,0.9564311551893845,-0.07295289696890857,0.07627616119893443,2.86047,0.00126,0.02331,-0.02311,1.93549,1.0,1.0,1.0
2022-02-01T02:30:00.0,-11.843115947523607,1.0426841613564564,-0.08110980698201593,0.07778943038369161,5.43297,0.00189,NaN,0.02,1.6394,1.0,1.0,2.0
2022-02-01T03:00:00.0,-9.4821249518681,0.9878995622123911,-0.3335912359969906,0.33767727890264104,NaN,-0.02101,0.95056,-0.04175,1.09404,2.0,1.0,1.0
2022-02-01T03:30:00.0,-8.987545066831215,0.8294372189516223,-0.2736819977893048,0.3299610766625938,17.02213,NaN,0.04753,0.24696,0.92103,1.0,NaN,1.0
2022-02-01T04:00:00.0,-9.02302326303279,0.8565857170276571,-0.3153331486915387,0.3681279554668986,2.214,-0.00741,-0.06027,0.02662,0.87372,1.0,1.0,1.0
2022-02-01T04:30:00.0,-9.24957573974361,0.5885745810563727,-0.19535034956490333,0.331904155993772,17.08703,-0.0373,0.13957,0.00873,1.5525,1.0,1.0,0.0
