zeta_mid,phi_med,phi_mean,n
0.008521043251624418,0.5488037235050233,1.1758997235579913,27
0.016568596169869325,0.49773149851057175,0.9722787882124165,26
0.02283242291581663,0.3564050752403749,0.6428275641720247,26
0.02725216724688234,0.42298469805267774,0.4851116162569717,27
0.03190089861985555,0.34169671759258374,0.4416917260580948,26
0.03654279700568497,0.45506657273785306,0.5186051123896578,26
0.041360760573018324,0.5787871841377155,0.6258093585451413,27
0.046952600053237876,0.590537925278535,0.5610179253859624,26
0.05207362363975015,0.3689671430878438,0.5346698977984908,26
0.0563638759201783,0.42620412535054214,0.5327246715666955,27
0.06093209740661466,0.6451798333515713,0.6772480798466395,26
0.06598658073462138,0.7435090186113432,0.7387110345887762,26
0.07156330837551583,0.7288675570373327,0.810223209256781,27
0.07756737142515698,0.6663957927186706,0.5989266169113758,26
0.08364852568443573,0.6132641731758031,0.6117001832201848,26
0.08967446108939905,0.5502664626483524,0.5747497479177684,26
0.09781295450314499,0.6259315940739825,0.5512399882637168,27
0.10715581734634273,0.7801764440029682,0.7110716876803098,26
0.11595002145200498,0.734558927435879,0.7463976506282305,26
0.12674422545248853,0.6809955759929208,0.6827738865130895,27
0.13727775846138318,0.7249617581978425,0.6766270738346184,26
0.14849000379189925,0.7170106862565064,0.8570252081795966,26
0.15897337750907298,0.7313735420780747,0.772819549252261,27
0.1694610424843797,0.6865771111182173,0.8027475202256062,26
0.18270014833459347,0.8087026273497939,0.8669735654903025,26
0.19709275230326925,0.8716217259882343,0.9506849262665632,27
0.2115725234029074,0.891786642879037,0.7986372237884398,26
0.22657750984667271,0.9424571632396287,0.9931687378332813,26
0.24311282537365797,0.98807614593971,1.1371366623092238,27
0.26309293631942376,1.09805795673266,1.38584263121752,26
0.28759734698610784,0.9638073482044416,0.9701435595764983,26
0.31214076909132704,1.2548110444869476,1.2443002466968331,26
0.3403524507050292,1.257980029475889,1.418340729029863,27
0.3748354577887773,1.3600251792020854,1.284854143549088,26
0.4128462498163916,1.1295580743619344,1.159948288616771,26
0.4534449522028394,1.4875460839749983,1.5735210832789794,27
0.49271197060951355,1.5823446698187231,1.5854484222875205,26
0.5397564458488957,1.6948039866229605,1.6822914823388975,26
0.6113474068266009,1.7182226318027483,1.7206075387475348,27
0.689370651936205,1.7233811240978054,1.8017908313875948,26
0.7888899884654752,1.621200091490715,1.994454729909528,26
0.9249520418148767,1.757417222391985,1.9723379918881647,27
1.0781684188194465,2.306639192314501,2.510416409570181,26
1.2788498630429643,2.341089601574696,2.4963199268910734,26
1.5060407981678474,2.749216571804925,3.1106280849074115,27
1.776963960337293,2.6141935327677635,2.5255209358361297,26
2.2437035800758975,2.6865339511656607,2.7409011134262053,26
5.160098128931736,2.3290161459509067,2.650341606418122,27
