zeta_mid,phi_med,phi_recon,n
0.008521043251624418,0.5488037235050233,0.4424556758668514,27
0.016568596169869325,0.49773149851057175,0.44364402753786364,26
0.02283242291581663,0.3564050752403749,0.4462946148358447,26
0.02725216724688234,0.42298469805267774,0.4509054796299942,27
0.03190089861985555,0.34169671759258374,0.45810512674435927,26
0.03654279700568497,0.45506657273785306,0.4685261758389243,26
0.041360760573018324,0.5787871841377155,0.4826626973582504,27
0.046952600053237876,0.590537925278535,0.5007314949663954,26
0.05207362363975015,0.3689671430878438,0.5225596681413355,26
0.0563638759201783,0.42620412535054214,0.5475201859022357,27
0.06093209740661466,0.6451798333515713,0.5745332702650144,26
0.06598658073462138,0.7435090186113432,0.6021438963652396,26
0.07156330837551583,0.7288675570373327,0.6286750845372017,27
0.07756737142515698,0.6663957927186706,0.6524440652122478,26
0.08364852568443573,0.6132641731758031,0.6720157157129181,26
0.08967446108939905,0.5502664626483524,0.6864572251025655,26
0.09781295450314499,0.6259315940739825,0.6955521075864423,27
0.10715581734634273,0.7801764440029682,0.6999323674349114,26
0.11595002145200498,0.734558927435879,0.7010957839789915,26
0.12674422545248853,0.6809955759929208,0.7012905892585015,27
0.13727775846138318,0.7249617581978425,0.7032704597270734,26
0.14849000379189925,0.7170106862565064,0.7099456408192668,26
0.15897337750907298,0.7313735420780747,0.7239772083183245,27
0.1694610424843797,0.6865771111182173,0.7473767902929046,26
0.18270014833459347,0.8087026273497939,0.7811799763451795,26
0.19709275230326925,0.8716217259882343,0.8252559414463263,27
0.2115725234029074,0.891786642879037,0.8782982664009238,26
0.22657750984667271,0.9424571632396287,0.9380144980171652,26
0.24311282537365797,0.98807614593971,1.001498655668498,27
0.26309293631942376,1.09805795673266,1.0657371361437133,26
0.28759734698610784,0.9638073482044416,1.1281703606797506,26
0.31214076909132704,1.2548110444869476,1.187215614232734,26
0.3403524507050292,1.257980029475889,1.2426548408481788,27
0.3748354577887773,1.3600251792020854,1.2958062389698606,26
0.4128462498163916,1.1295580743619344,1.3494290032383778,26
0.4534449522028394,1.4875460839749983,1.4073522805099858,27
0.49271197060951355,1.5823446698187231,1.4738658551669093,26
0.5397564458488957,1.6948039866229605,1.5529534999129704,26
0.6113474068266009,1.7182226318027483,1.6474826272616372,27
0.689370651936205,1.7233811240978054,1.758479590518581,26
0.7888899884654752,1.621200091490715,1.8846150655024325,26
0.9249520418148767,1.757417222391985,2.0219981356283747,27
1.0781684188194465,2.306639192314501,2.16433432357574,26
1.2788498630429643,2.341089601574696,2.3034483266792942,26
1.5060407981678474,2.749216571804925,2.430115218653764,27
1.776963960337293,2.6141935327677635,2.535093690735972,26
2.2437035800758975,2.6865339511656607,2.6102199647075337,26
5.160098128931736,2.3290161459509067,2.6494074215543852,27
