datetime,tracer,c1,c2,c3,c4,zeta,ustar,n_obs,shape_ratio,stability
2024-01-15T05:00:00.0,T,-18.307321713853362,0.12040421669669049,0.052994538309265676,0.060940210330534615,0.630242659865161,0.1214,30,0.44013855796067247,stable
2024-01-15T05:30:00.0,T,-18.749138304724266,0.1086425137563341,0.04377966332651079,0.05328450964278694,0.16954487521128608,0.11755,30,0.4029699038877249,stable
2024-01-15T06:00:00.0,T,-18.90820394604391,0.13411986666327816,0.04043924397014525,0.04652476905322186,0.4786158595815982,0.16629,30,0.30151568873589896,stable
2024-01-15T06:30:00.0,T,-18.905090105482063,0.21299291815439336,0.054855782967759704,0.04923769793798991,0.45740741477306623,0.17778,30,0.2575474501363284,stable
2024-01-15T07:00:00.0,T,-19.179552467976404,0.159319262778676,0.04829679154929645,0.03737317491010624,0.3416911483422408,0.17349,30,0.30314470897589857,stable
2024-01-15T07:30:00.0,T,-19.606788312648053,0.15697160542663482,0.05667246908790301,0.06294076221593926,0.1487908479396349,0.14676,30,0.3610364367101444,stable
2024-01-15T08:30:00.0,T,-20.389986726545583,0.17781547444741436,0.059776250648747004,0.06453007249039625,0.4888017641068189,0.1506,30,0.3361701271191936,stable
2024-01-15T09:00:00.0,T,-20.782889493725804,0.09717366212288336,0.06612874471652799,0.04133752836334791,0.18764098568625612,0.20864,30,0.6805212778016254,stable
2024-01-15T09:30:00.0,T,-21.095744238544665,0.10060482891602991,0.05805225958478416,0.06240115380660058,0.5407124756708772,0.13045,30,0.577032536213919,stable
2024-01-15T10:00:00.0,T,-21.616445488179473,0.2409368438503156,0.06085686870239381,0.048395465338333325,0.49804873168642333,0.16173,30,0.25258431931731345,stable
2024-01-15T11:00:00.0,T,-22.214116563841454,-0.019817477281784845,0.09595380021613042,0.0606535899069705,0.12942871291586008,0.22759,30,4.841877644251217,stable
2024-01-15T11:30:00.0,T,-21.90642814129736,0.09688091488966186,0.10125865045963756,0.05228634763607147,0.6612532070780544,0.20917,30,1.0451867694990444,stable
2024-01-15T12:00:00.0,T,-20.903804853383846,0.31531865860235975,0.049652321979783226,0.026126307518199963,0.6239933021101555,0.25229,30,0.15746712294117202,stable
2024-01-15T13:30:00.0,T,-21.616762800236387,0.31663820748907817,-0.0016546570878151667,0.061325169234026505,0.5130241210558483,0.23116,30,0.005225702548459004,stable
2024-01-15T14:00:00.0,T,-21.91157377576857,0.23275103646195466,0.08125813581500481,0.09900887382175942,0.4108690953198437,0.29528,30,0.34912040371638564,stable
2024-01-15T14:30:00.0,T,-22.182488118162958,0.3076173612975619,0.07825617034916858,0.06153028973156996,0.4737865245636683,0.3001,30,0.25439451797868606,stable
2024-01-15T15:00:00.0,T,-22.365164523753517,0.19261323693669702,0.031525546658869745,0.038268714146465925,0.11539974471569517,0.39507,30,0.16367279404182758,stable
2024-01-15T15:30:00.0,T,-22.232753225510425,0.13596751500099297,0.05692031924732851,0.007100775414919427,0.33158788354806534,0.40741,30,0.4186317536722858,stable
2024-01-15T16:00:00.0,T,-20.531943498698553,0.37464626703350196,0.025508313726293707,-0.03012849625577648,0.13867718844662255,0.49933,30,0.06808639501007674,stable
2024-01-15T17:00:00.0,T,-20.66868237991133,0.17910253114752087,0.078831212952058,0.021226440799465344,0.1701951324192128,0.4499,30,0.44014572238025673,stable
2024-01-15T17:30:00.0,T,-20.350625174390466,0.17486453701144722,0.05528445249906823,0.02762719651277667,0.12827176660338593,0.45824,30,0.3161558852579075,stable
2024-01-15T18:00:00.0,T,-20.810092578791284,0.1638139652621732,0.05780815269283074,0.02552094190661592,0.12466989579764884,0.42034,30,0.3528890384913929,stable
2024-01-15T19:30:00.0,T,-21.99861651244464,0.07295599522076644,0.06687889772802161,0.07799976705642114,0.2252536797147309,0.29028,30,0.9167018765989635,stable
2024-01-15T20:00:00.0,T,-21.403215628027596,0.20983930854683758,0.044754961558912565,0.031496441547476266,0.15937800999230828,0.33714,30,0.21328206744887815,stable
2024-01-15T21:30:00.0,T,-23.299182810550313,0.17576471916736186,0.0637530376458499,0.06672178977970998,0.39973798044377523,0.23231,30,0.3627180582534583,stable
2024-01-15T22:00:00.0,T,-23.374339917796842,0.215598437035975,0.03393991418721791,0.04266610823054079,0.19346866606719418,0.34557,30,0.15742189346926785,stable
2024-01-15T22:30:00.0,T,-23.564841986530247,0.2421104076282787,0.03294778223883855,0.06856695278222,0.2456583622747366,0.30161,30,0.13608577409619055,stable
2024-01-15T23:30:00.0,T,-23.50923559021265,0.3031651331238582,-0.006819938316128527,0.017183447113146542,0.18306199036138823,0.36114,30,0.022495787183225455,stable
