datetime,c1,c2,c3,shape_ratio,VAR_EDDY.H,VAR_EDDY.tau,VAR_EDDY.F_c,VAR_EDDY.CO2_storage_flux,VAR_EDDY.U,VAR_EDDY.Qc_H,VAR_EDDY.Qc_tau,VAR_EDDY.Qc_F_c
2020-01-01T00:00:00.0,-10.876676130551918,-0.017482904232392224,-0.003024450084520086,0.1729947178293411,-6.72579,NaN,1.62303,NaN,4.85241,0.0,NaN,0.0
2020-01-01T00:30:00.0,-10.647534353592468,-0.03835932339196184,-0.005745942621896924,0.14979259574481912,NaN,-0.5691,1.3077,-0.00069,4.63687,2.0,0.0,0.0
2020-01-01T01:00:00.0,-10.803468468645297,0.0037748931796162074,0.0038230321829082676,1.0127524147046074,NaN,-0.45367,0.94989,-0.09318,4.10007,2.0,0.0,0.0
2020-01-01T01:30:00.0,-10.962415079311755,0.0432430061099062,-0.02451718235415572,0.5669629509993588,NaN,-0.57082,1.65236,0.11038,4.36547,2.0,0.0,0.0
2020-01-01T02:00:00.0,-10.750692230492819,0.013646605957277166,-0.009742794665752022,0.7139353694430223,NaN,-0.4233,0.95779,-0.07481,4.04173,2.0,0.0,1.0
2020-01-01T02:30:00.0,-10.638913145499338,0.06945708051831595,-0.023173626058460187,0.3336395063761608,NaN,-0.26546,0.96316,0.01707,3.60149,2.0,0.0,1.0
2020-01-01T03:00:00.0,-10.96457961619674,0.05772325018585924,-0.0022600594195046246,0.03915336389111164,-10.03601,-0.29111,1.32257,0.01553,3.52577,0.0,0.0,0.0
2020-01-01T03:30:00.0,-11.286960165947733,0.15675720055569836,-0.02715402722280078,0.17322347634775803,-17.83844,-0.28145,1.63034,-0.00079,3.94497,0.0,0.0,1.0
2020-01-01T04:00:00.0,-11.456032285963591,0.18963266619827793,-0.03739611745803191,0.19720293031650424,-21.36466,-0.25475,2.0542,-0.09433,3.62411,0.0,0.0,1.0
2020-01-01T04:30:00.0,-11.294328752506262,0.18816495168832548,-0.04870319105418762,0.2588324266405313,-19.203,-0.24447,0.6132,0.05155,4.08201,0.0,0.0,0.0
2020-01-01T05:00:00.0,-11.295286626951762,0.18182679277906413,-0.04043488369877411,0.2223813283002034,-17.13943,-0.20698,0.85251,-0.06032,3.8718,0.0,0.0,0.0
2020-01-01T05:30:00.0,-11.503896670324501,0.1399090803972694,-0.053103423997869055,0.3795566652792142,-24.9835,-0.25952,1.26789,0.03735,4.13727,0.0,0.0,0.0
2020-01-01T06:00:00.0,-11.963440383172108,0.08820684344515174,-0.025692815181511654,0.29127915905400026,-21.59614,-0.46781,0.87297,0.05996,4.02033,0.0,0.0,1.0
2020-01-01T06:30:00.0,-11.844921884489185,0.08887406448117621,-0.051684085516873986,0.5815429486497811,-21.96357,-0.47904,NaN,-0.04476,3.86956,0.0,0.0,2.0
2020-01-01T07:00:00.0,-11.529433061056979,0.1530732676754389,-0.02191351428506354,0.14315702942676276,-24.15021,-0.34814,1.29149,-0.07275,3.89642,0.0,0.0,0.0
2020-01-01T07:30:00.0,-11.558110047528157,0.14110568958069591,-0.033448632588780274,0.23704666118123874,-33.0639,-0.38825,1.9042,0.00718,4.29991,0.0,0.0,0.0
2020-01-01T08:00:00.0,-11.454501876151408,0.12085090127953795,-0.011587435736206093,0.09588207959991472,-25.12151,-0.42451,0.73948,-0.01391,4.54792,0.0,0.0,1.0
