datetime,corr_H_tau
2023-12-01T00:00:00.0,-0.2999129209305723
2023-12-01T00:30:00.0,0.1793909094938071
2023-12-01T01:00:00.0,0.5925298050315455
2023-12-01T01:30:00.0,-0.03846426170181621
2023-12-01T02:00:00.0,-0.31163493335278564
2023-12-01T02:30:00.0,NaN
2023-12-01T03:00:00.0,NaN
2023-12-01T03:30:00.0,-0.9912431872858765
2023-12-01T04:00:00.0,NaN
2023-12-01T04:30:00.0,NaN
2023-12-01T05:00:00.0,NaN
2023-12-01T05:30:00.0,NaN
2023-12-01T06:00:00.0,NaN
2023-12-01T06:30:00.0,-0.9417386270268763
2023-12-01T07:00:00.0,-0.6029105239080439
2023-12-01T07:30:00.0,-0.631815778404752
2023-12-01T08:00:00.0,-0.6972138261846444
2023-12-01T08:30:00.0,-0.2272539791806533
2023-12-01T09:00:00.0,-0.26848207586522443
2023-12-01T09:30:00.0,-0.23681522209191258
2023-12-01T10:00:00.0,-0.3460248920405426
2023-12-01T10:30:00.0,-0.5825133073172215
2023-12-01T11:00:00.0,-0.8064534683778619
2023-12-01T11:30:00.0,-0.9066918294870294
2023-12-01T12:00:00.0,-0.9132226594097618
2023-12-01T12:30:00.0,-0.9544492583315731
2023-12-01T13:00:00.0,-0.9689357122961993
2023-12-01T13:30:00.0,-0.9298354670434706
2023-12-01T14:00:00.0,0.24971358452253142
2023-12-01T14:30:00.0,NaN
2023-12-01T15:00:00.0,NaN
2023-12-01T15:30:00.0,-0.9032850333533584
2023-12-01T16:00:00.0,-0.9055657473787616
2023-12-01T16:30:00.0,-0.7535976264534425
2023-12-01T17:00:00.0,-0.2927409269988772
2023-12-01T17:30:00.0,-0.4181608246232924
2023-12-01T18:00:00.0,-0.4181608246232924
2023-12-01T18:30:00.0,-0.3197262955380222
2023-12-01T19:00:00.0,-0.2986787368831118
2023-12-01T19:30:00.0,-0.4195512148406317
2023-12-01T20:00:00.0,-0.29747013681406287
2023-12-01T20:30:00.0,-0.0708818691464183
2023-12-01T21:00:00.0,-0.42917075771859753
2023-12-01T21:30:00.0,0.29294185106218873
2023-12-01T22:00:00.0,-0.11605352420745493
2023-12-01T22:30:00.0,-0.6052424258189176
2023-12-01T23:00:00.0,-0.680105676370882
2023-12-01T23:30:00.0,-0.5164392782711393
2023-12-02T00:00:00.0,0.05034842462414594
2023-12-02T00:30:00.0,0.05034842462414594
2023-12-02T01:00:00.0,0.7558664488641167
2023-12-02T01:30:00.0,0.9128436763287614
2023-12-02T02:00:00.0,0.7762184228122797
2023-12-02T02:30:00.0,0.1843165192000267
2023-12-02T03:00:00.0,-0.06605315180206535
2023-12-02T03:30:00.0,0.7818474430806398
2023-12-02T04:00:00.0,0.7839001830785093
2023-12-02T04:30:00.0,0.7857222560487366
2023-12-02T05:00:00.0,0.8235928478037667
2023-12-02T05:30:00.0,0.6954789878576497
2023-12-02T06:00:00.0,0.7392669068184522
2023-12-02T06:30:00.0,0.4707012793626633
2023-12-02T07:00:00.0,0.5998830177205777
2023-12-02T07:30:00.0,0.7282668345896237
2023-12-02T08:00:00.0,0.6552357441785863
2023-12-02T08:30:00.0,0.4756726575258833
2023-12-02T09:00:00.0,0.19496459798507473
2023-12-02T09:30:00.0,0.15462610303110746
2023-12-02T10:00:00.0,0.9113425062954261
2023-12-02T10:30:00.0,0.9113425062954261
2023-12-02T11:00:00.0,NaN
2023-12-02T11:30:00.0,NaN
2023-12-02T12:00:00.0,NaN
2023-12-02T12:30:00.0,NaN
2023-12-02T13:00:00.0,NaN
2023-12-02T13:30:00.0,-0.8365408293592065
2023-12-02T14:00:00.0,-0.8365408293592065
2023-12-02T14:30:00.0,-0.8904615306638253
2023-12-02T15:00:00.0,-0.8980795883360898
2023-12-02T15:30:00.0,-0.8980795883360898
2023-12-02T16:00:00.0,NaN
2023-12-02T16:30:00.0,NaN
2023-12-02T17:00:00.0,NaN
2023-12-02T17:30:00.0,0.4851542577307791
2023-12-02T18:00:00.0,-0.5322571921219917
2023-12-02T18:30:00.0,-0.5593241262573219
2023-12-02T19:00:00.0,-0.5843441497046317
2023-12-02T19:30:00.0,-0.6939275053709857
2023-12-02T20:00:00.0,-0.898252772752543
2023-12-02T20:30:00.0,-0.534344744795715
2023-12-02T21:00:00.0,-0.02942068606820977
2023-12-02T21:30:00.0,-0.04099302200764928
2023-12-02T22:00:00.0,0.11471742302972299
2023-12-02T22:30:00.0,0.4066487683139563
2023-12-02T23:00:00.0,0.4040401427927115
2023-12-02T23:30:00.0,0.48599088787353734
2023-12-03T00:00:00.0,-0.24846208257854763
2023-12-03T00:30:00.0,-0.5155918748568986
2023-12-03T01:00:00.0,NaN
2023-12-03T01:30:00.0,NaN
2023-12-03T02:00:00.0,NaN
2023-12-03T02:30:00.0,NaN
2023-12-03T03:00:00.0,NaN
2023-12-03T03:30:00.0,NaN
2023-12-03T04:00:00.0,-0.4600634826664775
