model,rmse_train,rmse_test,mae_train,mae_test
Grachev-C1,0.8167741859530884,0.3410727610284458,0.5341063022187151,0.2610645111520214
Grachev-C1+ULTRA,0.7971341220886425,0.32040146327686403,0.4686573104409005,0.2165141344297571
