regime,zeta_min,zeta_max,n,zeta_median,phi_median,phi_mean
weak_stable,0.0,0.5,967,0.11571667289127832,0.7381073012955817,0.8507612627912425
moderate_stable,0.5,2.0,246,0.899773256658267,1.9537145051319182,2.1971601010580124
very_stable,2.0,10.0,51,2.578634171004165,2.3290161459509067,2.662703933848696
