mode,coeff,coeff_trunc,abs_coeff
0,7.562529582687834,7.562529582687834,7.562529582687834
1,-4.0844237333202225,-4.0844237333202225,4.0844237333202225
2,1.6287722268850044,1.6287722268850044,1.6287722268850044
3,-0.9509727245020306,-0.9509727245020306,0.9509727245020306
4,0.3140059457352514,0.3140059457352514,0.3140059457352514
5,-0.3317021419712553,-0.3317021419712553,0.3317021419712553
6,0.2950355356080477,0.2950355356080477,0.2950355356080477
7,-0.051344826626969105,-0.051344826626969105,0.051344826626969105
8,0.11432956872264757,0.0,0.11432956872264757
9,0.07377595818069023,0.0,0.07377595818069023
10,-0.009499745441251827,0.0,0.009499745441251827
11,0.1767140960487984,0.0,0.1767140960487984
12,-0.28325243225029123,0.0,0.28325243225029123
13,0.23798406750870707,0.0,0.23798406750870707
14,-0.19832957416740976,0.0,0.19832957416740976
15,0.4360853346765455,0.0,0.4360853346765455
16,0.026967424175407415,0.0,0.026967424175407415
17,0.14926297954961604,0.0,0.14926297954961604
18,0.07668870549092872,0.0,0.07668870549092872
19,-0.13807254025044474,0.0,0.13807254025044474
20,-0.08392342469333702,0.0,0.08392342469333702
21,-0.026716767779685614,0.0,0.026716767779685614
22,-0.09768689128276956,0.0,0.09768689128276956
23,0.04449331474255574,0.0,0.04449331474255574
24,-0.028131495071832477,0.0,0.028131495071832477
25,-0.019068403354739968,0.0,0.019068403354739968
26,0.039428900309344754,0.0,0.039428900309344754
27,0.2339783414080112,0.0,0.2339783414080112
28,-0.06963611188830901,0.0,0.06963611188830901
29,0.08972565386091866,0.0,0.08972565386091866
30,-0.016377466912816913,0.0,0.016377466912816913
31,-0.06389774736375887,0.0,0.06389774736375887
32,0.029815452484473523,0.0,0.029815452484473523
33,-0.037005285863483194,0.0,0.037005285863483194
34,0.0016733937143649396,0.0,0.0016733937143649396
35,-0.026134637594994854,0.0,0.026134637594994854
36,-0.0456331296485404,0.0,0.0456331296485404
37,0.02305945721585156,0.0,0.02305945721585156
38,-0.044535439122343215,0.0,0.044535439122343215
39,0.05942730435571985,0.0,0.05942730435571985
40,-0.06489127235308959,0.0,0.06489127235308959
41,0.014959928247291714,0.0,0.014959928247291714
42,-0.15748972903571443,0.0,0.15748972903571443
43,0.17274308159492688,0.0,0.17274308159492688
44,-0.20521823923139826,0.0,0.20521823923139826
45,0.014273737095326804,0.0,0.014273737095326804
46,0.039167431075017,0.0,0.039167431075017
47,-0.07336570200070616,0.0,0.07336570200070616
